Trading day,Hour When Trade Occurred (CET),% of Total Volume
D-1,6:00,0%
D-1,8:00,0%
D-1,9:00,0%
D-1,10:00,0%
D-1,11:00,0%
D-1,12:00,0%
D-1,13:00,0%
D-1,14:00,0%
D-1,15:00,0%
D-1,16:00,0%
D-1,17:00,0%
D-1,18:00,1%
D-1,19:00,1%
D-1,20:00,1%
D-1,21:00,2%
D-1,22:00,2%
D-1,23:00,2%
D,0:00,3%
D,1:00,3%
D,2:00,3%
D,3:00,2%
D,4:00,3%
D,5:00,3%
D,6:00,4%
D,7:00,5%
D,8:00,6%
D,9:00,6%
D,10:00,6%
D,11:00,5%
D,12:00,5%
D,13:00,5%
D,14:00,5%
D,15:00,5%
D,16:00,5%
D,17:00,4%
D,18:00,4%
D,19:00,3%
D,20:00,3%
D,21:00,2%
D,22:00,2%
D,23:00,1%
