Trading day,Hour when the trade occurred (CET),total volume (MWh),% of total volume
D-1,15:00,5228839,53.77
D-1,16:00,7291,0.07
D-1,17:00,2712,0.03
D-1,18:00,2787,0.03
D-1,19:00,3273,0.03
D-1,20:00,6464,0.07
D-1,21:00,7220,0.07
D-1,22:00,10470,0.11
D-1,23:00,24287,0.25
D,0:00,100859,1.04
D,1:00,95431,0.98
D,2:00,101690,1.05
D,3:00,127928,1.32
D,4:00,155121,1.60
D,5:00,172298,1.77
D,6:00,205171,2.11
D,7:00,251905,2.59
D,8:00,256497,2.64
D,9:00,256086,2.63
D,10:00,253332,2.61
D,11:00,262069,2.69
D,12:00,247299,2.54
D,13:00,248034,2.55
D,14:00,251442,2.59
D,15:00,249976,2.57
D,16:00,215670,2.22
D,17:00,187026,1.92
D,18:00,172405,1.77
D,19:00,162594,1.67
D,20:00,145831,1.50
D,21:00,124320,1.28
D,22:00,105058,1.08
D,23:00,82978,0.85
