Month,Production Type,YoY Change
January,Nuclear,−6.49
January,Other RES,−.09
January,Hydro Pumped Storage,1.53
January,Solar,−.14
January,Biomass,−.07
January,Other fossil fuel,−1.12
January,Gas,−14.64
January,Wind,5.86
January,Coal,−4.59
January,Hydro,3.08
February,Nuclear,−2.92
February,Other RES,−.06
February,Hydro Pumped Storage,0.55
February,Solar,1.39
February,Biomass,0.12
February,Other fossil fuel,−.32
February,Gas,1.01
February,Wind,−12.64
February,Coal,2.14
February,Hydro,1.66
March,Nuclear,−3.31
March,Other RES,−.08
March,Hydro Pumped Storage,0.72
March,Solar,0.86
March,Biomass,−.43
March,Other fossil fuel,−.74
March,Gas,−8.81
March,Wind,12.58
March,Coal,−12.46
March,Hydro,3.14
April,Nuclear,0.00
April,Other RES,−.04
April,Hydro Pumped Storage,0.74
April,Solar,2.80
April,Biomass,−.75
April,Other fossil fuel,−.76
April,Gas,−3.17
April,Wind,−2.86
April,Coal,−7.92
April,Hydro,0.34
May,Nuclear,0.63
May,Other RES,−.05
May,Hydro Pumped Storage,0.95
May,Solar,2.41
May,Biomass,−.80
May,Other fossil fuel,−.54
May,Gas,−7.17
May,Wind,4.12
May,Coal,−10.76
May,Hydro,2.37
June,Nuclear,−9.98
June,Other RES,−.07
June,Hydro Pumped Storage,0.13
June,Solar,3.68
June,Biomass,0.13
June,Other fossil fuel,−.76
June,Gas,2.52
June,Wind,3.91
June,Coal,5.13
June,Hydro,−7.60
July,Nuclear,−12.77
July,Other RES,−.07
July,Hydro Pumped Storage,0.51
July,Solar,5.31
July,Biomass,0.36
July,Gas,5.75
July,Other fossil fuel,−.99
July,Wind,2.30
July,Coal,2.93
July,Hydro,−7.55
August,Nuclear,−14.00
August,Other RES,−.07
August,Hydro Pumped Storage,−.06
August,Solar,5.22
August,Biomass,0.09
August,Gas,11.01
August,Other fossil fuel,−1.07
August,Wind,−4.76
August,Coal,5.53
August,Hydro,−6.98
September,Nuclear,−13.61
September,Other RES,−.07
September,Hydro Pumped Storage,0.20
September,Solar,2.06
September,Biomass,0.08
September,Gas,0.39
September,Other fossil fuel,−.81
September,Wind,5.31
September,Coal,−1.27
September,Hydro,−1.92
October,Nuclear,−15.63
October,Other RES,−.08
October,Hydro Pumped Storage,0.21
October,Solar,1.72
October,Biomass,−.59
October,Gas,3.63
October,Other fossil fuel,−.58
October,Wind,−2.24
October,Coal,−5.18
October,Hydro,−1.35
November,Nuclear,−12.24
November,Other RES,−.09
November,Hydro Pumped Storage,0.13
November,Solar,1.48
November,Biomass,−.33
November,Gas,−12.92
November,Other fossil fuel,−.64
November,Wind,5.65
November,Coal,−3.35
November,Hydro,−.02
December,Nuclear,−6.81
December,Other RES,−.08
December,Hydro Pumped Storage,0.72
December,Solar,0.17
December,Biomass,−.07
December,Other fossil fuel,−.79
December,Gas,−3.47
December,Wind,−2.86
December,Coal,−.52
December,Hydro,−1.08
