Year,Type of production,Generation (GWh)
2021,Biomass,80765.30
2021,Coal,410320.80
2021,Gas,433425.20
2021,Hydro,460202.90
2021,Hydro Pumped Storage,39478.40
2021,Nuclear,697747.20
2021,Other,75817.30
2021,Other RES,11893.60
2021,Other fossil fuel,22059.60
2021,Solar,132433.30
2021,Wind,380199.00
2022,Biomass,80216.60
2022,Coal,435505.20
2022,Gas,431523.70
2022,Hydro,386283.80
2022,Hydro Pumped Storage,35523.70
2022,Nuclear,580425.40
2022,Other,88491.80
2022,Other RES,11237.30
2022,Other fossil fuel,20466.20
2022,Solar,166873.90
2022,Wind,415772.30
2023,Biomass,71247.50
2023,Coal,316985.60
2023,Gas,364768.10
2023,Hydro,436044.40
2023,Hydro Pumped Storage,44319.20
2023,Nuclear,588847.60
2023,Other,93443.10
2023,Other RES,10784.80
2023,Other fossil fuel,16673.80
2023,Solar,197128.50
2023,Wind,470883.20
2024,Biomass,73084.70
2024,Coal,268046.50
2024,Gas,341052.00
2024,Hydro,465982.00
2024,Hydro Pumped Storage,50774.20
2024,Nuclear,618409.50
2024,Other,95260.40
2024,Other RES,10700.90
2024,Other fossil fuel,13422.40
2024,Solar,237768.50
2024,Wind,477446.70
