Year,Project status,Capacity (GW)
2023,Operational,0.20
2025,Operational,0.00
2025,Under construction,0.90
2025,Advanced planning,1.50
2025,Early planning,1.40
2025,Announced,5.20
2023,Under construction,0.00
2023,Advanced planning,0.00
2023,Early planning,0.00
2023,Announced,0.00
2024,Operational,0.20
2024,Under construction,0.30
2024,Advanced planning,0.00
2024,Early planning,0.00
2024,Announced,0.00
2026,Operational,0.00
2026,Under construction,0.50
2026,Advanced planning,0.50
2026,Early planning,2.40
2026,Announced,1.80
2027,Operational,0.00
2027,Under construction,0.00
2027,Advanced planning,1.40
2027,Early planning,5.50
2027,Announced,5.60
2028,Operational,0.00
2028,Under construction,0.00
2028,Advanced planning,0.80
2028,Early planning,4.70
2028,Announced,2.60
2029,Operational,0.00
2029,Under construction,0.00
2029,Advanced planning,1.00
2029,Early planning,3.00
2029,Announced,0.10
2030,Operational,0.00
2030,Under construction,0.00
2030,Advanced planning,0.00
2030,Early planning,4.20
2030,Announced,28.00
2023,0.20
2024,0.70
2025,9.80
2026,15.10
2027,27.60
2028,35.70
2029,39.80
2030,72.00
