Year,Category,Hydrogen consumption [kt]
2022,Total electrolytic hydrogen consumption,12.10
2022,Ammonia,2.20
2022,Blending in natural gas pipelines,1.70
2022,Novel hydrogen applications,4.50
2022,Other,1.20
2022,Other chemicals,0.90
2022,Refining,1.70
2023,Total electrolytic hydrogen consumption,19.10
2023,Ammonia,2.20
2023,Blending in natural gas pipelines,1.90
2023,Methanol,1.30
2023,Novel hydrogen applications,8.70
2023,Other,1.40
2023,Other chemicals,1.20
2023,Refining,2.20
2024,Total electrolytic hydrogen consumption,28.90
2024,Ammonia,3.40
2024,Blending in natural gas pipelines,2.60
2024,Methanol,1.30
2024,Novel hydrogen applications,10.00
2024,Other,3.80
2024,Other chemicals,4.40
2024,Refining,3.40
