Balancing Service,Capacity/Energy,Distributed energy resources,Member State,' Estimated balancing capacity procured and balancing energy activated (% ranges)
FCR,BALANCING CAPACITY,Distributed generation,AT,' NA
FCR,BALANCING CAPACITY,Distributed generation,BE,' 0
FCR,BALANCING CAPACITY,Distributed generation,BG,' 0
FCR,BALANCING CAPACITY,Distributed generation,CZ,' NA
FCR,BALANCING CAPACITY,Distributed generation,DE,' NA
FCR,BALANCING CAPACITY,Distributed generation,DK,' NA
FCR,BALANCING CAPACITY,Distributed generation,EE,' NAP
FCR,BALANCING CAPACITY,Distributed generation,ES,' NA
FCR,BALANCING CAPACITY,Distributed generation,FI,' NA
FCR,BALANCING CAPACITY,Distributed generation,FR,' 0
FCR,BALANCING CAPACITY,Distributed generation,GR,' 0
FCR,BALANCING CAPACITY,Distributed generation,HR,' NA
FCR,BALANCING CAPACITY,Distributed generation,HU,' > 20%
FCR,BALANCING CAPACITY,Distributed generation,IT,' NAP
FCR,BALANCING CAPACITY,Distributed generation,LT,' NAP
FCR,BALANCING CAPACITY,Distributed generation,LV,' NAP
FCR,BALANCING CAPACITY,Distributed generation,NL,' NA
FCR,BALANCING CAPACITY,Distributed generation,NO,' NA
FCR,BALANCING CAPACITY,Distributed generation,PL,' 0
FCR,BALANCING CAPACITY,Distributed generation,PT,' 0
FCR,BALANCING CAPACITY,Distributed generation,RO,' 0
FCR,BALANCING CAPACITY,Distributed generation,SE,' NA
FCR,BALANCING CAPACITY,Distributed generation,SI,' 0
FCR,BALANCING CAPACITY,Distributed generation,SK,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,AT,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,BE,' > 20%
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,BG,' 0
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,CZ,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,DE,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,DK,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,EE,' NAP
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,ES,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,FI,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,FR,' > 20%
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,GR,' 0
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,HR,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,HU,' 0
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,IT,' NAP
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,LT,' NAP
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,LV,' NAP
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,NL,' NA
FCR,BALANCING CAPACITY,Storage excluding hydro and pumped-hydro storage,NO,' NA
