Member State,' Estimated level of penetration of dynamic electricity price contracts for households (% ranges),' Estimated level of penetration of dynamic electricity price contracts for non-households (% ranges)
AT,' N/A,' N/A
BG,' N/A,' N/A
CY,' N/A,' N/A
DE,' N/A,' N/A
DK,' N/A,' N/A
HR,' N/A,' N/A
HU,' N/A,' N/A
IE,' N/A,' N/A
LT,' N/A,' N/A
LU,' N/A,' N/A
MT,' N/A,' N/A
NL,' N/A,' N/A
PL,' N/A,' N/A
PT,' N/A,' N/A
RO,' N/A,' N/A
SE,' N/A,' N/A
SK,' N/A,' N/A
NO,' 80% - 100%,' 80% - 100%
EE,' 20% - 40%,' 20% - 40%
ES,' 20% - 40%,' 20% - 40%
BE,' 0% - 20%,' 0% - 20%
CZ,' 0% - 20%,' 0% - 20%
FI,' 0% - 20%,' N/A
LV,' 0% - 20%,' 40% - 60%
FR,' 0,' N/A
GR,' 0,' 0
IT,' 0,' N/A
SI,' 0,' 0% - 20%
