Area,Year,Average price
Nord/Balt,2018,45.41
PL,2018,52.17
AT,2018,46.32
NL,2018,52.54
DE,2018,44.47
UK,2018,64.89
BE,2018,52.18
IT,2018,62.05
FR,2018,50.20
Iberia,2018,57.38
4MMC,2018,47.98
Nord/Balt,2017,31.02
PL,2017,36.86
AT,2017,34.19
NL,2017,39.31
DE,2017,34.19
UK,2017,51.73
BE,2017,44.58
IT,2017,53.68
FR,2017,44.96
Iberia,2017,52.36
4MMC,2017,43.96
Nord/Balt,2016,29.39
PL,2016,37.07
AT,2016,28.98
NL,2016,32.23
DE,2016,28.98
UK,2016,49.16
BE,2016,36.62
IT,2016,42.40
FR,2016,36.69
Iberia,2016,39.55
4MMC,2016,32.80
Nord/Balt,2015,25.35
PL,2015,39.66
AT,2015,31.83
NL,2015,40.06
DE,2015,31.83
UK,2015,55.33
BE,2015,44.72
IT,2015,52.18
FR,2015,38.45
Iberia,2015,50.41
4MMC,2015,35.72
Nord/Balt,2014,33.85
PL,2014,42.99
AT,2014,32.77
NL,2014,41.18
DE,2014,32.77
UK,2014,52.86
BE,2014,40.79
IT,2014,54.88
FR,2014,34.64
Iberia,2014,42.00
4MMC,2014,35.45
