Area,Year,Price,% change
Bulgaria,2016,38.65,
Bulgaria,2017,39.67,
Bulgaria,2018,39.89,
Bulgaria,2019,47.48,
Bulgaria,2020,39.28,−17%
Germany/Luxembourg,2016,28.99,
Germany/Luxembourg,2017,34.19,
Germany/Luxembourg,2018,44.47,
Germany/Luxembourg,2019,37.67,
Germany/Luxembourg,2020,30.47,−19%
France,2016,36.72,
France,2017,44.96,
France,2018,50.20,
France,2019,39.45,
France,2020,32.20,−18%
Italy,2016,42.78,
Italy,2017,53.95,
Italy,2018,61.31,
Italy,2019,52.32,
Italy,2020,38.92,−26%
Greece,2016,42.85,
Greece,2017,54.68,
Greece,2018,60.40,
Greece,2019,63.82,
Greece,2020,45.01,−29%
Poland,2016,37.21,
Poland,2017,36.95,
Poland,2018,52.17,
Poland,2019,53.46,
Poland,2020,46.66,−13%
4MMC,2016,32.80,
4MMC,2017,43.92,
4MMC,2018,47.98,
4MMC,2019,45.61,
4MMC,2020,36.53,−20%
Baltic,2016,35.22,
Baltic,2017,34.34,
Baltic,2018,48.99,
Baltic,2019,46.09,
Baltic,2020,33.93,−26%
Iberia,2016,39.55,
Iberia,2017,52.35,
Iberia,2018,57.38,
Iberia,2019,47.77,
Iberia,2020,33.97,−29%
Nordic,2016,27.93,
Nordic,2017,30.19,
Nordic,2018,44.51,
Nordic,2019,39.26,
Nordic,2020,16.94,−57%
