Date,Technology,Estimated cost of hydrogen production [EUR/kg],Estimated cost of hydrogen production [EUR/MWh]
02/01/2024,Alcaline,6.00,181.00
02/01/2024,SMR with CCS,2.70,79.90
02/01/2024,SMR without CCS,2.00,58.60
03/01/2024,Alcaline,6.30,187.80
03/01/2024,SMR with CCS,2.80,84.30
03/01/2024,SMR without CCS,2.10,62.20
04/01/2024,Alcaline,6.30,188.80
04/01/2024,SMR with CCS,2.80,84.80
04/01/2024,SMR without CCS,2.10,62.60
05/01/2024,Alcaline,6.30,189.20
05/01/2024,SMR with CCS,2.90,86.70
05/01/2024,SMR without CCS,2.10,64.30
08/01/2024,Alcaline,5.70,171.90
08/01/2024,SMR with CCS,2.70,81.10
08/01/2024,SMR without CCS,2.00,60.00
09/01/2024,Alcaline,5.60,169.00
09/01/2024,SMR with CCS,2.70,80.50
09/01/2024,SMR without CCS,2.00,59.60
10/01/2024,Alcaline,5.60,167.80
10/01/2024,SMR with CCS,2.70,80.30
10/01/2024,SMR without CCS,2.00,59.50
11/01/2024,Alcaline,5.50,164.70
11/01/2024,SMR with CCS,2.70,79.90
11/01/2024,SMR without CCS,2.00,59.30
12/01/2024,Alcaline,5.50,166.40
12/01/2024,SMR with CCS,2.70,81.10
12/01/2024,SMR without CCS,2.00,60.40
15/01/2024,Alcaline,5.20,157.00
15/01/2024,SMR with CCS,2.60,78.10
15/01/2024,SMR without CCS,1.90,58.00
16/01/2024,Alcaline,5.20,156.20
16/01/2024,SMR with CCS,2.60,77.50
16/01/2024,SMR without CCS,1.90,57.40
17/01/2024,Alcaline,5.00,148.90
17/01/2024,SMR with CCS,2.50,74.30
17/01/2024,SMR without CCS,1.80,54.90
18/01/2024,Alcaline,5.00,151.40
18/01/2024,SMR with CCS,2.50,75.50
18/01/2024,SMR without CCS,1.90,55.90
19/01/2024,Alcaline,5.00,151.40
19/01/2024,SMR with CCS,2.50,75.40
19/01/2024,SMR without CCS,1.90,55.80
22/01/2024,Alcaline,4.80,144.20
22/01/2024,SMR with CCS,2.50,74.10
22/01/2024,SMR without CCS,1.80,55.00
23/01/2024,Alcaline,4.90,145.80
23/01/2024,SMR with CCS,2.50,73.70
23/01/2024,SMR without CCS,1.80,54.50
24/01/2024,Alcaline,5.00,150.80
24/01/2024,SMR with CCS,2.50,75.90
24/01/2024,SMR without CCS,1.90,56.40
25/01/2024,Alcaline,4.90,145.70
25/01/2024,SMR with CCS,2.50,74.00
25/01/2024,SMR without CCS,1.80,54.80
26/01/2024,Alcaline,4.80,144.70
26/01/2024,SMR with CCS,2.50,74.50
26/01/2024,SMR without CCS,1.80,55.30
29/01/2024,Alcaline,4.80,144.90
29/01/2024,SMR with CCS,2.50,75.20
29/01/2024,SMR without CCS,1.90,55.90
30/01/2024,Alcaline,5.00,149.00
30/01/2024,SMR with CCS,2.60,77.20
30/01/2024,SMR without CCS,1.90,57.50
31/01/2024,Alcaline,5.10,151.70
31/01/2024,SMR with CCS,2.60,77.70
31/01/2024,SMR without CCS,1.90,57.80
01/02/2024,Alcaline,4.70,142.40
01/02/2024,SMR with CCS,2.50,75.90
01/02/2024,SMR without CCS,1.90,56.70
02/02/2024,Alcaline,4.80,144.60
02/02/2024,SMR with CCS,2.60,76.60
02/02/2024,SMR without CCS,1.90,57.20
05/02/2024,Alcaline,4.70,140.90
05/02/2024,SMR with CCS,2.50,74.90
05/02/2024,SMR without CCS,1.90,55.70
06/02/2024,Alcaline,4.70,142.20
06/02/2024,SMR with CCS,2.50,75.60
06/02/2024,SMR without CCS,1.90,56.30
07/02/2024,Alcaline,4.70,139.90
07/02/2024,SMR with CCS,2.50,74.70
07/02/2024,SMR without CCS,1.90,55.70
08/02/2024,Alcaline,4.60,137.10
08/02/2024,SMR with CCS,2.50,73.90
08/02/2024,SMR without CCS,1.80,55.10
09/02/2024,Alcaline,4.40,133.10
09/02/2024,SMR with CCS,2.40,72.20
09/02/2024,SMR without CCS,1.80,53.70
12/02/2024,Alcaline,4.30,128.50
12/02/2024,SMR with CCS,2.30,70.40
12/02/2024,SMR without CCS,1.70,52.40
13/02/2024,Alcaline,4.30,130.10
13/02/2024,SMR with CCS,2.30,70.10
13/02/2024,SMR without CCS,1.70,51.90
14/02/2024,Alcaline,4.10,123.60
14/02/2024,SMR with CCS,2.30,68.80
14/02/2024,SMR without CCS,1.70,51.10
15/02/2024,Alcaline,4.10,122.00
15/02/2024,SMR with CCS,2.30,69.00
15/02/2024,SMR without CCS,1.70,51.30
16/02/2024,Alcaline,4.00,120.30
16/02/2024,SMR with CCS,2.30,68.40
16/02/2024,SMR without CCS,1.70,50.90
19/02/2024,Alcaline,3.90,115.90
19/02/2024,SMR with CCS,2.20,66.60
19/02/2024,SMR without CCS,1.60,49.40
20/02/2024,Alcaline,3.90,117.50
20/02/2024,SMR with CCS,2.20,66.90
20/02/2024,SMR without CCS,1.70,49.70
21/02/2024,Alcaline,4.00,118.80
21/02/2024,SMR with CCS,2.20,67.10
21/02/2024,SMR without CCS,1.70,49.70
22/02/2024,Alcaline,3.80,115.10
