Year,Country,Evolution of FID  at LNG liquefaction plants (Mt)
2016,United States,2.50
2016,Russia,2.20
2016,Indonesia,3.80
2017,Russia,0.90
2017,Mozambique,3.40
2018,United States,4.50
2018,Mauritania,2.50
2018,Canada,14.00
2019,United States,30.10
2019,Russia,19.80
2019,Nigeria,7.60
2019,Mozambique,12.90
2020,Mexico,3.00
2021,Qatar,32.00
2021,Mexico,1.40
2021,Australia,5.00
2022,United States,23.80
2022,Malaysia,2.00
2022,Congo,3.00
2022,Canada,2.10
2023,United States,34.90
2023,Mexico,1.40
2024,Qatar,16.00
