Year,Grouped Categories RES,Installed capacity (GW)
2016,Hydro,143.57
2016,Other renewable,17.79
2016,Solar,70.40
2016,Wind offshore,5.62
2016,Wind onshore,122.06
2017,Hydro,144.20
2017,Other renewable,18.37
2017,Solar,74.78
2017,Wind offshore,6.92
2017,Wind onshore,133.03
2018,Hydro,148.74
2018,Other renewable,27.16
2018,Solar,90.36
2018,Wind offshore,14.96
2018,Wind onshore,152.98
2019,Hydro,147.37
2019,Other renewable,28.90
2019,Solar,97.57
2019,Wind offshore,19.98
2019,Wind onshore,158.24
2020,Hydro,144.78
2020,Other renewable,29.62
2020,Solar,107.29
2020,Wind offshore,23.55
2020,Wind onshore,169.58
2016,Nuclear,114.82
2016,Coal,143.14
2016,Gas,165.90
2017,Nuclear,115.01
2017,Coal,142.00
2017,Gas,177.36
2018,Nuclear,121.80
2018,Coal,152.50
2018,Gas,208.74
2019,Nuclear,122.04
2019,Coal,147.19
2019,Gas,219.75
2020,Nuclear,116.41
2020,Coal,142.01
2020,Gas,216.61
