Year,Month,Average of min_price [EUR/MWh],Average day-ahead price [EUR/MWh],Average of max_price [EUR/MWh]
2020,January,12.16,38.24,81.60
2020,February,1.59,29.24,65.81
2020,March,−4.69,23.81,61.22
2020,April,−17.06,18.35,51.63
2020,May,−14.01,18.91,53.93
2020,June,−1.49,25.01,79.40
2020,July,−3.41,27.91,53.04
2020,August,4.69,33.59,89.85
2020,September,3.79,39.21,141.76
2020,October,−2.73,34.26,102.13
2020,November,0.52,36.13,122.38
2020,December,0.20,43.82,130.72
2021,January,3.58,54.42,121.53
2021,February,8.17,50.67,158.44
2021,March,7.50,48.98,115.57
2021,April,−6.46,54.79,122.18
2021,May,−15.88,57.11,110.96
2021,June,−.46,70.86,134.12
2021,July,19.92,83.51,139.38
2021,August,5.52,91.28,164.81
2021,September,46.41,126.17,221.09
2021,October,21.91,146.44,335.48
2021,November,38.35,164.55,399.59
2021,December,33.17,213.83,582.59
2022,January,17.45,164.20,333.57
2022,February,45.24,147.07,329.26
2022,March,45.44,223.77,606.13
2022,April,−1.73,169.32,430.52
2022,May,18.80,170.47,335.73
2022,June,25.19,197.88,431.82
2022,July,39.45,277.26,628.82
2022,August,74.89,390.16,1012.48
2022,September,28.16,315.08,687.88
2022,October,20.61,154.72,481.46
2022,November,15.14,175.87,488.29
2022,December,2.28,242.37,608.22
2023,January,2.16,124.30,270.08
2023,February,30.13,124.55,240.27
2023,March,3.37,102.50,219.48
2023,April,−2.87,97.11,204.58
2023,May,−29.42,77.04,199.81
2023,June,−6.81,86.18,184.78
2023,July,−107.49,78.24,177.74
2023,August,−4.03,83.14,268.19
2023,September,−.55,83.27,290.21
2023,October,−1.61,84.47,243.35
2023,November,−10.67,93.24,295.96
2023,December,−1.64,82.97,253.70
