Date,LNG send-out flow,Net withdrawal
01.01.2021,0.08,0.51
01.02.2021,0.19,0.45
01.03.2021,0.50,0.08
01.04.2021,0.66,−.04
01.05.2021,0.69,−.61
01.06.2021,0.66,−.82
01.07.2021,0.69,−1.11
01.08.2021,0.63,−1.57
01.09.2021,0.55,−.57
01.10.2021,0.40,−.10
01.11.2021,0.27,0.42
01.12.2021,0.29,0.37
01.01.2022,0.49,0.44
01.02.2022,0.52,0.33
01.03.2022,0.69,−.05
01.04.2022,0.93,−.35
01.05.2022,1.46,−1.09
01.06.2022,0.96,−.73
01.07.2022,1.56,−1.16
01.08.2022,1.85,−.94
01.09.2022,1.23,−.35
01.10.2022,1.17,−.15
01.11.2022,0.90,0.08
01.12.2022,0.65,0.30
01.01.2023,0.59,0.49
01.02.2023,0.55,0.63
01.03.2023,0.32,0.43
01.04.2023,0.82,−.39
01.05.2023,1.68,−1.05
01.06.2023,1.61,−.78
01.07.2023,1.63,−1.30
01.08.2023,1.33,−1.31
01.09.2023,1.20,−.25
01.10.2023,0.98,−.36
01.11.2023,0.90,0.12
01.12.2023,0.69,0.34
01.01.2024,0.48,0.57
01.02.2024,0.59,0.52
01.03.2024,0.74,0.23
01.04.2024,1.16,−.49
01.05.2024,1.20,−.69
01.06.2024,1.11,−.78
01.07.2024,0.96,−.92
01.08.2024,1.27,−1.56
01.09.2024,1.07,−.23
01.10.2024,1.10,−.19
01.11.2024,0.62,0.53
01.12.2024,0.48,0.53
