Date,LNG send-out flow,Net withdrawal
01.01.2021,0.40,0.08
01.02.2021,0.44,0.08
01.03.2021,0.42,0.04
01.04.2021,0.51,−.00
01.05.2021,0.46,−.05
01.06.2021,0.49,−.05
01.07.2021,0.50,−.04
01.08.2021,0.44,−.02
01.09.2021,0.44,−.01
01.10.2021,0.64,−.11
01.11.2021,0.60,0.06
01.12.2021,0.60,0.08
01.01.2022,0.69,0.05
01.02.2022,0.67,0.02
01.03.2022,0.73,−.00
01.04.2022,0.87,−.07
01.05.2022,0.94,−.06
01.06.2022,0.87,−.07
01.07.2022,0.82,−.06
01.08.2022,0.65,−.09
01.09.2022,0.73,−.07
01.10.2022,0.66,−.06
01.11.2022,0.85,−.02
01.12.2022,0.80,0.04
01.01.2023,0.71,0.03
01.02.2023,0.67,0.09
01.03.2023,0.84,0.04
01.04.2023,1.07,−.12
01.05.2023,0.93,−.07
01.06.2023,0.92,−.05
01.07.2023,0.68,−.01
01.08.2023,0.68,−.02
01.09.2023,0.68,0.00
01.10.2023,0.69,−.00
01.11.2023,0.75,0.01
01.12.2023,0.60,0.09
01.01.2024,0.61,0.10
01.02.2024,0.63,0.03
01.03.2024,0.71,−.03
01.04.2024,0.66,−.08
01.05.2024,0.66,−.09
01.06.2024,0.63,−.11
01.07.2024,0.61,−.05
01.08.2024,0.54,−.03
01.09.2024,0.57,−.00
01.10.2024,0.54,0.00
01.11.2024,0.54,0.08
01.12.2024,0.54,0.11
