Date,LNG send-out flow,Net withdrawal
01.01.2021,0.03,0.11
01.02.2021,0.05,0.07
01.03.2021,0.38,0.03
01.04.2021,0.36,0.00
01.05.2021,0.48,−.04
01.06.2021,0.36,−.11
01.07.2021,0.25,−.16
01.08.2021,0.35,−.17
01.09.2021,0.14,−.09
01.10.2021,0.25,−.04
01.11.2021,0.22,0.10
01.12.2021,0.12,0.04
01.01.2022,0.37,0.10
01.02.2022,0.40,0.08
01.03.2022,0.49,0.03
01.04.2022,0.86,−.01
01.05.2022,0.81,−.20
01.06.2022,1.16,−.19
01.07.2022,1.31,−.16
01.08.2022,0.98,−.11
01.09.2022,0.79,−.03
01.10.2022,0.93,−.07
01.11.2022,0.84,0.07
01.12.2022,0.60,0.06
01.01.2023,0.60,0.07
01.02.2023,0.56,0.08
01.03.2023,0.73,0.06
01.04.2023,1.00,−.07
01.05.2023,1.05,−.12
01.06.2023,0.97,−.16
01.07.2023,0.88,−.14
01.08.2023,0.88,−.08
01.09.2023,0.68,−.03
01.10.2023,0.91,−.06
01.11.2023,0.76,0.05
01.12.2023,0.51,0.05
01.01.2024,0.40,0.09
01.02.2024,0.51,0.04
01.03.2024,0.84,−.01
01.04.2024,0.77,0.02
01.05.2024,0.82,−.10
01.06.2024,0.70,−.11
01.07.2024,0.94,−.17
01.08.2024,0.25,−.09
01.09.2024,0.33,0.00
01.10.2024,0.41,−.03
01.11.2024,0.33,0.07
01.12.2024,0.41,0.06
