Country,Electricity Household prices 2023 (cents/kWh)
Austria,27.00
Belgium,40.64
Bulgaria,11.65
Croatia,14.80
Cyprus,35.95
Czechia,31.70
Denmark,36.83
Estonia,22.50
EU 27,28.84
Finland,24.80
France,24.45
Germany,40.73
Great Britain,23.18
Hungary,11.46
Ireland,32.65
Italy,35.65
Latvia,29.14
Lithuania,25.21
Luxembourg,20.11
Malta,12.70
Netherlands,36.33
Norway,18.93
Poland,19.66
Portugal,21.85
Romania,19.01
Slovakia,19.18
Slovenia,20.15
Spain,24.00
Sweden,24.21
Austria,26.39
Belgium,21.54
Bulgaria,16.68
Croatia,24.48
Cyprus,30.73
Czechia,22.30
Denmark,20.84
Estonia,16.35
EU 27,20.50
Finland,9.27
France,18.24
Germany,23.41
Great Britain,16.14
Hungary,30.59
Ireland,23.19
Italy,21.23
Latvia,22.45
Lithuania,15.45
Luxembourg,17.32
Malta,10.90
Netherlands,24.85
Norway,9.90
Poland,24.52
Portugal,10.47
Romania,18.98
Slovakia,28.05
Slovenia,21.41
Spain,14.95
Sweden,10.24
