Country,Uptake HH regulated flat,Uptake HH regulated time of use,Uptake HH regulated market fixed,Uptake HH regulated dynamic,"Sum regulated fixed, market fixed, regulated time of use, and regulated dynamic contracts HH"
BG,100%,,0%,,100%
HR,100%,0%,,0%,100%
HU,100%,,0%,,100%
MT,100%,,0%,,100%
RO,,,100%,,100%
DE,,,99%,,99%
NL,,,94%,,94%
PT,16%,2%,76%,0%,94%
PL,56%,7%,26%,,89%
ES,,,57%,29%,86%
LV,,,84%,,84%
FR,29%,28%,7%,0%,64%
LT,,,61%,,61%
FI,,,49%,,49%
SI,0%,0%,32%,0%,32%
IT,,29%,0%,,29%
GR,,,13%,,13%
SE,,,12%,,12%
BE,11%,,0%,,11%
IE,,,4%,,4%
LU,,,4%,,4%
NO,,,3%,,3%
