MS,Frequency - 2018,Frequency - 2017
Austria,Annually,Annually
Belgium,Annually,Annually
Bulgaria,Monthly,No data
Croatia,Other,Biannually
Cyprus,Bimonthly,Bimonthly
Czech Republic,Annually,Annually
Denmark,Quarterly,Quarterly
Estonia,Monthly,Monthly
Finland,Other,No data
France,Other,Annually
Germany,Annually,Annually
Greece,Other,No data
Hungary,Monthly,Monthly
Ireland,Bimonthly,Bimonthly
Italy,Bimonthly,Bimonthly
Latvia,Monthly,Monthly
Lithuania,Other,Monthly
Luxembourg,Other,Annually
Malta,Bimonthly,Bimonthly
Netherlands,Annually,Annually
Norway,Monthly,Quarterly
Poland,Bimonthly,Biannually
Portugal,Monthly,Monthly
Romania,Monthly,Monthly
Slovakia,Annually,Annually
Slovenia,Monthly,Monthly
Spain,Monthly,Monthly
Sweden,Monthly,Monthly
United Kingdom,Other,Quarterly
