Bidding Zone,Year,Nº of spikes occurences
BE,2009,54
BE,2010,10
BE,2011,1
BE,2012,4
BE,2013,1
BE,2014,2
BE,2015,54
BE,2016,92
BE,2017,71
CH,2012,26
CH,2016,8
CH,2017,39
CZ,2011,1
CZ,2012,1
CZ,2016,4
CZ,2017,10
DE,2009,56
DE,2012,3
DE,2016,2
DE,2017,12
DK1,2009,9
DK1,2012,3
DK1,2013,5
DK1,2014,3
DK1,2016,2
DK1,2017,1
DK2,2009,161
DK2,2010,200
DK2,2011,2
DK2,2012,15
DK2,2015,3
DK2,2016,40
DK2,2017,1
EE,2013,12
EE,2014,22
EE,2015,10
EE,2016,57
EE,2017,7
ES,2009,1
FI,2009,29
FI,2010,192
FI,2012,24
FI,2013,7
FI,2014,9
FI,2015,10
FI,2016,53
FI,2017,8
FR,2009,79
FR,2010,21
FR,2012,17
FR,2013,1
FR,2015,1
FR,2016,46
FR,2017,39
GB,2009,337
GB,2010,58
GB,2011,2
GB,2012,13
GB,2014,24
GB,2015,25
GB,2016,249
GB,2017,32
GR,2011,13
GR,2012,28
GR,2014,43
GR,2015,20
GR,2016,11
GR,2017,140
HU,2011,9
HU,2012,22
HU,2013,2
HU,2014,14
HU,2015,7
HU,2016,4
HU,2017,195
IT-BRI,2011,31
IT-BRI,2012,26
IT-BRI,2013,1
IT-BRI,2014,10
IT-BRI,2015,16
IT-BRI,2016,17
IT-BRI,2017,15
IT-CENTNORD,2011,53
IT-CENTNORD,2012,58
IT-CENTNORD,2013,1
IT-CENTNORD,2014,16
IT-CENTNORD,2015,18
IT-CENTNORD,2016,39
IT-CENTNORD,2017,89
IT-CENTSUD,2011,58
IT-CENTSUD,2012,52
IT-CENTSUD,2013,1
IT-CENTSUD,2014,18
IT-CENTSUD,2015,18
IT-CENTSUD,2016,36
IT-CENTSUD,2017,64
IT-NORD,2011,15
IT-NORD,2012,49
IT-NORD,2014,6
IT-NORD,2015,23
IT-NORD,2016,33
IT-NORD,2017,97
IT-SUD,2009,776
IT-SUD,2010,60
IT-SUD,2011,34
IT-SUD,2012,26
IT-SUD,2013,1
IT-SUD,2014,16
IT-SUD,2015,16
IT-SUD,2016,17
IT-SUD,2017,15
LT,2012,3
LT,2013,19
LT,2014,114
LT,2015,36
LT,2016,146
LT,2017,17
LV,2013,19
LV,2014,114
LV,2015,36
LV,2016,126
LV,2017,16
NL,2009,49
NL,2011,2
NL,2012,2
NL,2016,9
NL,2017,6
NO1,2010,123
NO1,2012,7
NO1,2016,21
NO2,2012,2
NO2,2016,2
NO3,2009,24
NO3,2010,235
NO3,2012,10
NO3,2016,17
NO4,2009,24
NO4,2010,181
NO4,2012,10
NO4,2016,16
NO5,2010,1
NO5,2012,5
NO5,2016,2
PT,2010,2
RO,2009,8
SE,2009,27
SE,2010,182
SE1,2012,10
SE1,2016,30
SE1,2017,1
SE2,2012,10
SE2,2016,30
SE2,2017,1
SE3,2012,15
SE3,2015,3
SE3,2016,40
SE3,2017,2
SE4,2012,15
SE4,2015,3
SE4,2016,40
SE4,2017,2
SI,2011,7
SI,2012,31
SI,2014,1
SI,2015,8
SI,2016,2
SI,2017,118
SK,2011,22
SK,2012,4
SK,2016,4
SK,2017,53
