"Last Updated On",1/27/2026,
Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
"GEN-2026-SR2","","Surplus","03 CENTRAL","Cimmaron","KS","SUNC",,"12/1/2027",,,"165.6","165.6","165.6","ER","0","0","0","Battery/Storage","","Buckner 345kV","12/19/2025",,"None","N/A","",""
"GEN-2026-SR1","","Surplus","03 CENTRAL","Garden Plain","KS","WERE",,"12/1/2026",,,"152.6","152.6","152.6","ER/NR","0","0","0","Battery/Storage","","Buffalo Flats 345kV Substation","11/7/2025",,"None","N/A","",""
"GEN-2026-PR5","","Priority Process","04 SOUTHEAST","Goultry","OK","OG&E",,,,,"60.4","60.4","60.4","ER","0","0","0","Battery/Storage","","Woodring 345kV Substation","1/7/2026",,"None","N/A","",""
"GEN-2026-PR4","","Priority Process","05 SOUTHWEST","Spearman","TX","SPS",,,,,"131.56","131.56","131.56","ER","0","0","0","Battery/Storage","","Hitchland 345kV","12/19/2025",,"None","N/A","",""
"GEN-2026-PR3","","Priority Process","04 SOUTHEAST","Garfield County","OK","OG&E",,"12/1/2030",,,"49.68","49.68","49.68","ER","0","0","0","Wind","","Otter 138kV","12/1/2025",,"None","N/A","",""
"GEN-2026-PR2","","Priority Process","04 SOUTHEAST","Dewey County","OK","OG&E",,"12/1/2030",,,"41.89","41.89","41.89","ER","0","0","0","Wind","","Tatonga 345 kV Substation","12/1/2025",,"None","N/A","",""
"GEN-2026-PR1","","Priority Process","05 SOUTHWEST","Garfield County","TX","OG&E",,"12/1/2030",,,"52.63","52.63","52.63","ER","0","0","0","Wind","","Beaver County 345 kV Substation","12/1/2025",,"None","N/A","",""
"GEN-2025-SR9","","Surplus","04 SOUTHEAST","Fort Gibson","OK","OG&E",,"12/1/2029",,,"410","410","410","ER","0","0","0","Thermal","","Muskogee 345 KV Substation","5/31/2025",,"None","N/A","",""
"GEN-2025-SR8","","Surplus","04 SOUTHEAST","Morrison","OK","OG&E",,"1/24/2027",,,"220","220","220","ER","0","0","0","Battery/Storage","","White Tail 345kV Substation","5/30/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR7","","Surplus","05 SOUTHWEST","Fort Gibson","OK","SPS",,"12/31/2026",,,"102","102","102","ER/NR","0","0","0","Battery/Storage","","Guymon South 115kV Station","5/30/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR6","","Surplus","04 SOUTHEAST","Minco","OK","OG&E",,"12/31/2026",,,"200","200","200","ER/NR","0","0","0","Battery/Storage","","Minco 345kV Substation","6/4/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-SR5","","Surplus","02 NEBRASKA","Hallam","NE","NPPD",,"11/20/2026",,,"40","40","40","ER/NR","0","0","0","Battery/Storage","","Monolith 115 kV Substation","5/22/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-SR4","","Surplus","03 CENTRAL","Kinsley","KS","SUNC",,"12/1/2028",,,"150","150","150","ER/NR","0","0","0","Battery/Storage","","Great Bend-Spearville 230kV line","8/18/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-SR32","","Surplus","05 SOUTHWEST","Roswell","NM","SPS",,"12/31/2026",,,"50","50","50","ER","0","0","0","Battery/Storage","","Chaves County 115 kV Substation","10/20/2025",,"None","N/A","",""
"GEN-2025-SR31","","Surplus","02 NEBRASKA","Meadow Grove","NE","NPPD",,"12/31/2026",,,"170","170","170","ER","0","0","0","Battery/Storage","","Antelope(640520) - Hoskins(640226) 345kV","11/7/2025",,"None","N/A","",""
"GEN-2025-SR30","","Surplus","04 SOUTHEAST","Oakwood","OK","OG&E",,"12/5/2027",,,"209","209","209","ER","0","0","0","Battery/Storage","","Tatonga 345 kV Substation","8/22/2025",,"None","N/A","",""
"GEN-2025-SR3","","Surplus","03 CENTRAL","Minneola","KS","ITCGP",,"7/21/2028",,,"150","150","150","ER/NR","0","0","0","Battery/Storage","","Clark County 345kV Substation","8/18/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR29","","Surplus","05 SOUTHWEST","Hobbs","NM","SPS",,"3/1/2027",,,"74.99","74.99","74.99","ER","0","0","0","Battery/Storage","","T14 Circuit 115kV","8/18/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR28","","Surplus","05 SOUTHWEST","Balko","OK","OG&E",,"11/22/2027",,,"263.13","263.13","263.13","ER","0","0","0","Battery/Storage","","Beaver County 345 kV Substation","8/18/2025",,"None","N/A","",""
"GEN-2025-SR27","","Surplus","05 SOUTHWEST","Roswell","NM","SPS",,"12/31/2026",,,"50","50","50","ER","0","0","0","Battery/Storage","","Chaves County 115 kV Substation","7/1/2025",,"None","N/A","",""
"GEN-2025-SR26","","Surplus","02 NEBRASKA","Plattsmouth","NE","OPPD",,"11/30/2029",,,"200","200","200","ER","0","0","0","Thermal","","Cass County 345kV Substation","6/12/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-SR25","","Surplus","04 SOUTHEAST","Sperry","OK","AEP",,"5/31/2028",,,"200","200","200","ER","0","0","0","Thermal","","Tulsa North 138kV Substation","6/12/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR24","","Surplus","02 NEBRASKA","Blair","NE","OPPD",,"11/30/2028",,,"200","200","200","ER","0","0","0","Thermal","","Fort Calhoun 345kV Substation","6/12/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-SR23","","Surplus","04 SOUTHEAST","Oklahoma City","OK","OG&E",,"5/31/2026",,,"100","100","100","ER/NR","0","0","0","Thermal","","Mustang 138kV Substation","6/12/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR22","","Surplus","04 SOUTHEAST","Harrah","OK","OG&E",,"5/31/2028",,,"100","100","100","ER","0","0","0","Thermal","","Horseshoe Lake 138kV Substation","6/12/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR21","","Surplus","04 SOUTHEAST","Tulsa","OK","AEP",,"5/31/2028",,,"100","100","100","ER","0","0","0","Thermal","","Tulsa Power Station 138kV Substation","6/12/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR20","","Surplus","02 NEBRASKA","Omaha","NE","OPPD",,"5/31/2030",,,"100","100","100","ER","0","0","0","Thermal","","SUBSTATION LOOP IN OPPD LINES S1211 TO S1220 AND S1211 TO S1299","6/12/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-SR2","","Surplus","05 SOUTHWEST","Hansford County","TX","SPS",,"1/31/2028",,,"67.2","67.2","67.2","ER","0","0","0","Wind","","Hansford 115kV","5/5/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR19","","Surplus","04 SOUTHEAST","Chouteau","OK","GRDA",,"11/30/2029",,,"100","100","100","ER","0","0","0","Thermal","","Maid 161kV substation","6/12/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR18","","Surplus","03 CENTRAL","Indepedence","MO","INDN",,"11/30/2029",,,"50","50","50","ER","0","0","0","Thermal","","Blue Valley 161kV Substation","6/12/2025",,"None","N/A","",""
"GEN-2025-SR17","","Surplus","04 SOUTHEAST","Duncan","OK","AEP",,"12/31/2026",,,"200","200","200","ER/NR","0","0","0","Battery/Storage","","Terry Road 345kV Station","6/6/2025",,"IA PENDING","N/A","",""
"GEN-2025-SR16","","Surplus","03 CENTRAL","Oxford","KS","WERE",,"12/21/2026",,,"300","300","300","ER","0","0","0","Battery/Storage","","Wild Plains 345 kV Substation","6/5/2025",,"FACILITY STUDY STAGE","N/A","",""
