Country,2023 prices (cents/kWh),2022 prices (cents/kWh),2021 prices (cents/kWh),2020 prices (cents/kWh),2019 prices (cents/kWh)
Bosnia and Herzegovina,5.51,5.46,3.42,3.60,3.34
Georgia,1.79,1.66,1.28,1.32,1.47
Moldova,9.88,9.62,3.56,2.81,2.99
North Macedonia,9.75,13.05,5.29,4.99,5.98
Serbia,4.48,3.36,3.39,3.40,3.41
Ukraine,0.00,0.00,2.73,2.19,2.67
EU average,11.60,10.00,7.10,6.80,6.49
Bosnia and Herzegovina,4.32,4.51,4.33,6.38,7.50
Georgia,2.62,2.09,1.85,3.02,2.66
Moldova,2.49,2.29,2.52,9.88,11.76
North Macedonia,3.52,2.48,2.90,13.01,6.81
Serbia,3.57,2.72,2.80,3.52,5.05
Ukraine,2.86,1.66,2.60,0.00,0.00
EU average,2.63,2.20,4.30,9.90,6.50
