Year,Technology,Levelized cost of electricity produced by technology [EUR2024/kWh]
2010,PV,0.39
2010,Offshore wind,0.19
2010,Onshore wind,0.10
2011,PV,0.32
2011,Offshore wind,0.20
2011,Onshore wind,0.10
2012,PV,0.24
2012,Offshore wind,0.17
2012,Onshore wind,0.09
2013,PV,0.18
2013,Offshore wind,0.14
2013,Onshore wind,0.09
2014,PV,0.17
2014,Offshore wind,0.18
2014,Onshore wind,0.08
2015,PV,0.12
2015,Offshore wind,0.14
2015,Onshore wind,0.07
2016,PV,0.11
2016,Offshore wind,0.12
2016,Onshore wind,0.65
2017,PV,0.09
2017,Offshore wind,0.11
2017,Onshore wind,0.06
2018,PV,0.07
2018,Offshore wind,0.10
2018,Onshore wind,0.05
2019,PV,0.06
2019,Offshore wind,0.09
2019,Onshore wind,0.04
2020,PV,0.06
2020,Offshore wind,0.08
2020,Onshore wind,0.04
2021,PV,0.05
2021,Offshore wind,0.08
2021,Onshore wind,0.03
2022,PV,0.05
2022,Offshore wind,0.07
2022,Onshore wind,0.03
2023,PV,0.04
2023,Offshore wind,0.07
2023,Onshore wind,0.03
2024,PV,0.04
2024,Offshore wind,0.07
2024,Onshore wind,0.03
