Year,Production (Mt),Capacity (Mt)
1990,52.66,19.25
1991,56.21,16.39
1992,59.10,15.20
1993,60.68,14.12
1994,63.87,12.53
1995,66.65,19.77
1996,74.55,17.40
1997,81.07,14.88
1998,83.02,15.88
1999,91.04,14.33
2000,99.66,21.13
2001,103.25,20.10
2002,110.44,14.37
2003,124.22,14.79
2004,128.59,17.58
2005,142.73,14.88
2006,159.92,25.63
2007,171.83,23.67
2008,172.88,33.22
2009,182.57,44.81
2010,222.48,36.46
2011,241.36,35.89
2012,232.29,44.80
2013,235.42,35.37
2014,239.20,38.92
2015,242.57,38.21
2016,259.48,40.04
2017,288.37,48.28
2018,314.84,45.77
2019,353.76,43.22
2020,354.76,77.10
2021,377.37,67.45
2022,393.41,59.63
2023,405.04,53.55
