Country,Status of hydrogen network development plans
Austria,In gas network plans
Belgium,In gas plans but for info only
Bulgaria,In gas plans but for info only
Croatia,No hydrogen plan
Cyprus,No data
Czechia,In gas network plans
Denmark,No hydrogen plan
Estonia,In gas network plans
Finland,No hydrogen plan
France,In gas network plans
Germany,In gas network plans
Greece,In gas network plans
Hungary,No hydrogen plan
Ireland,No hydrogen plan
Italy,In gas plans but for info only
Latvia,In gas network plans
Lithuania,In gas network plans
Luxembourg,No hydrogen plan
Malta,No data
Netherlands,No hydrogen plan
Poland,No hydrogen plan
Portugal,No hydrogen plan
Romania,No data
Slovakia,No data
Slovenia,In gas plans but for info only
Spain,No hydrogen plan
Sweden,No hydrogen plan
