Country,Project status,Hydrogen production [kt/y]
Belgium,Total,210.00
Belgium,Feasibility status,210.00
France,Total,152.00
France,Feasibility status,93.00
France,FID/Construction,20.00
France,Operational,39.00
Germany,Total,416.00
Germany,Concept,416.00
Italy,Total,25.00
Italy,Feasibility status,23.00
Italy,Operational,1.00
Latvia,Total,1.00
Latvia,Concept,1.00
Luxembourg,Total,10.00
Luxembourg,Concept,10.00
Netherlands,Total,1021.00
Netherlands,Feasibility status,610.00
Netherlands,FID/Construction,311.00
Netherlands,Operational,100.00
Poland,Total,9.00
Poland,Concept,9.00
Spain,Total,15.00
Spain,Concept,15.00
Sweden,Total,21.00
Sweden,Concept,5.00
Sweden,DEMO,3.00
Sweden,Feasibility status,13.00
