Average diameter,Diameter class,% Repurposed,Unit cost (M€/km)
566.44,<600,100%,0.35
485.87,<600,100%,0.00
264.42,<600,88%,0.75
439.13,<600,87%,0.53
584.23,<600,83%,0.00
443.91,<600,77%,0.83
378.04,<600,73%,0.00
491.11,<600,69%,0.99
339.70,<600,62%,0.86
366.27,<600,60%,0.00
590.60,<600,60%,0.00
400.00,<600,0%,2.08
500.00,<600,0%,1.10
500.00,<600,0%,0.00
500.00,<600,0%,0.00
460.16,<600,0%,2.47
77.27,<600,0%,0.00
500.00,<600,0%,1.10
359.37,<600,0%,1.10
500.00,<600,0%,3.29
508.00,<600,0%,0.00
1400.00,>800,100%,0.30
1400.00,>800,100%,1.63
1000.00,>800,100%,0.00
1149.00,>800,100%,0.00
1050.00,>800,100%,0.00
1400.00,>800,100%,0.29
1000.00,>800,100%,0.26
954.53,>800,93%,0.00
936.22,>800,91%,0.82
1270.32,>800,90%,0.00
1104.58,>800,72%,1.11
986.58,>800,71%,1.14
856.07,>800,70%,1.55
1016.00,>800,68%,0.00
900.00,>800,66%,1.50
804.00,>800,60%,2.09
936.07,>800,52%,0.00
882.50,>800,46%,3.82
982.99,>800,42%,4.25
1200.00,>800,41%,2.70
969.33,>800,29%,0.00
872.84,>800,25%,4.24
950.00,>800,22%,0.00
809.26,>800,22%,1.41
1021.83,>800,21%,2.95
1152.67,>800,16%,4.01
851.88,>800,13%,0.00
1000.00,>800,0%,3.81
1200.00,>800,0%,5.56
1200.00,>800,0%,4.97
1200.00,>800,0%,5.06
1050.00,>800,0%,0.00
1200.00,>800,0%,3.53
1000.00,>800,0%,3.44
1114.07,>800,0%,3.92
1200.00,>800,0%,5.06
1171.80,>800,0%,4.44
1066.00,>800,0%,0.00
915.00,>800,0%,4.11
1200.00,>800,0%,3.79
1050.00,>800,0%,4.74
1000.00,>800,0%,3.57
1200.00,>800,0%,4.16
1000.00,>800,0%,0.00
1000.00,>800,0%,3.49
1000.00,>800,0%,0.00
1000.00,>800,0%,1.85
1235.65,>800,0%,0.00
800.00,600-800,100%,0.00
800.00,600-800,100%,0.00
719.54,600-800,97%,1.13
793.86,600-800,86%,0.84
616.06,600-800,86%,1.04
694.38,600-800,76%,1.74
769.38,600-800,70%,0.00
733.33,600-800,51%,1.46
725.00,600-800,41%,0.00
616.81,600-800,38%,1.00
800.00,600-800,0%,3.41
800.00,600-800,0%,3.46
760.00,600-800,0%,1.55
700.00,600-800,0%,1.25
693.87,600-800,0%,2.06
800.00,600-800,0%,2.91
700.00,600-800,0%,2.50
700.00,600-800,0%,0.00
800.00,600-800,0%,0.00
731.81,600-800,0%,0.00
800.00,600-800,0%,0.00
600.00,600-800,0%,2.40
600.00,600-800,0%,2.43
650.00,600-800,0%,0.00
600.00,600-800,0%,2.33
660.40,600-800,0%,1.05
660.40,600-800,0%,4.70
600.00,600-800,0%,2.78
700.00,600-800,0%,1.82
700.00,600-800,0%,0.00
600.00,600-800,0%,2.27
0.00,n.a.,83%,0.83
0.00,n.a.,77%,0.00
0.00,n.a.,34%,0.00
0.00,n.a.,0%,3.19
0.00,n.a.,0%,1.47
0.00,n.a.,0%,3.92
0.00,n.a.,0%,3.53
0.00,n.a.,0%,3.09
0.00,n.a.,0%,0.00
0.00,n.a.,0%,0.00
0.00,n.a.,0%,7.14
0.00,n.a.,0%,2.76
