Trading day,Hour when the trade occurred (CET),Trading Product,Market Area,ID Volume (TWh)
D,'00:00',Quarter-hourly product,DE,0
D,'01:00',Quarter-hourly product,DE,0
D,'02:00',Quarter-hourly product,DE,0
D,'03:00',Quarter-hourly product,DE,0
D,'04:00',Quarter-hourly product,DE,0
D,'05:00',Quarter-hourly product,DE,0
D,'06:00',Quarter-hourly product,DE,0
D,'07:00',Quarter-hourly product,DE,0
D,'08:00',Quarter-hourly product,DE,0
D,'09:00',Quarter-hourly product,DE,0
D,'10:00',Quarter-hourly product,DE,0
D,'11:00',Quarter-hourly product,DE,0
D,'12:00',Quarter-hourly product,DE,0
D,'13:00',Quarter-hourly product,DE,0
D,'14:00',Quarter-hourly product,DE,0
D,'15:00',Quarter-hourly product,DE,0
D,'16:00',Quarter-hourly product,DE,0
D,'17:00',Quarter-hourly product,DE,0
D,'18:00',Quarter-hourly product,DE,0
D,'19:00',Quarter-hourly product,DE,0
D,'00:00',Hourly product,ES/PT,0
D,'01:00',Hourly product,ES/PT,0
D,'02:00',Hourly product,ES/PT,3
D,'03:00',Hourly product,ES/PT,0
D,'04:00',Hourly product,ES/PT,0
D,'05:00',Hourly product,ES/PT,2
D,'06:00',Hourly product,ES/PT,0
D,'07:00',Hourly product,ES/PT,0
D,'08:00',Hourly product,ES/PT,0
D,'09:00',Hourly product,ES/PT,2
D,'10:00',Hourly product,ES/PT,0
D,'11:00',Hourly product,ES/PT,0
D,'12:00',Hourly product,ES/PT,0
D,'13:00',Hourly product,ES/PT,2
D,'14:00',Hourly product,ES/PT,0
D,'15:00',Hourly product,ES/PT,0
D,'16:00',Hourly product,ES/PT,0
D,'17:00',Hourly product,ES/PT,0
D,'18:00',Hourly product,ES/PT,0
D,'19:00',Hourly product,ES/PT,1
D,'00:00',Hourly product,IT,0
D,'01:00',Hourly product,IT,0
D,'02:00',Hourly product,IT,0
D,'03:00',Hourly product,IT,1
D,'04:00',Hourly product,IT,0
D,'05:00',Hourly product,IT,0
D,'06:00',Hourly product,IT,0
D,'07:00',Hourly product,IT,1
D,'08:00',Hourly product,IT,0
D,'09:00',Hourly product,IT,0
D,'10:00',Hourly product,IT,0
D,'11:00',Hourly product,IT,1
D,'12:00',Hourly product,IT,0
D,'13:00',Hourly product,IT,0
D,'14:00',Hourly product,IT,0
D,'15:00',Hourly product,IT,1
D,'16:00',Hourly product,IT,0
D,'17:00',Hourly product,IT,0
D,'18:00',Hourly product,IT,0
D,'19:00',Hourly product,IT,0
D,'00:00',hourly product,SI,0
D,'01:00',hourly product,SI,0
D,'02:00',hourly product,SI,0
D,'03:00',hourly product,SI,0
D,'04:00',hourly product,SI,0
D,'05:00',hourly product,SI,0
D,'06:00',hourly product,SI,0
D,'07:00',hourly product,SI,0
D,'08:00',hourly product,SI,0
D,'09:00',hourly product,SI,0
D,'10:00',hourly product,SI,0
D,'11:00',hourly product,SI,0
D,'12:00',hourly product,SI,0
D,'13:00',hourly product,SI,0
D,'14:00',hourly product,SI,0
D,'15:00',hourly product,SI,0
D,'16:00',hourly product,SI,0
D,'17:00',hourly product,SI,0
D,'18:00',hourly product,SI,0
D,'19:00',hourly product,SI,0
D-1,'15:00',Quarter-hourly product,DE,5
D-1,'16:00',Quarter-hourly product,DE,0
D-1,'17:00',Quarter-hourly product,DE,0
D-1,'18:00',Quarter-hourly product,DE,0
D-1,'19:00',Quarter-hourly product,DE,0
D-1,'20:00',Quarter-hourly product,DE,0
D-1,'21:00',Quarter-hourly product,DE,0
D-1,'22:00',Quarter-hourly product,DE,0
D-1,'23:00',Quarter-hourly product,DE,0
D-1,'15:00',Hourly product,ES/PT,0
D-1,'16:00',Hourly product,ES/PT,0
D-1,'17:00',Hourly product,ES/PT,0
D-1,'18:00',Hourly product,ES/PT,0
D-1,'19:00',Hourly product,ES/PT,20
D-1,'20:00',Hourly product,ES/PT,0
D-1,'21:00',Hourly product,ES/PT,0
D-1,'22:00',Hourly product,ES/PT,5
D-1,'23:00',Hourly product,ES/PT,0
D-1,'15:00',hourly product,IT,12
D-1,'16:00',Hourly product,IT,4
D-1,'17:00',Hourly product,IT,0
D-1,'18:00',Hourly product,IT,0
D-1,'19:00',Hourly product,IT,0
D-1,'20:00',Hourly product,IT,0
D-1,'21:00',Hourly product,IT,0
D-1,'22:00',Hourly product,IT,0
D-1,'23:00',Hourly product,IT,2
D-1,'15:00',Hourly product,SI,0
D-1,'16:00',hourly product,SI,0
D-1,'17:00',hourly product,SI,0
D-1,'18:00',hourly product,SI,0
D-1,'19:00',hourly product,SI,0
D-1,'20:00',hourly product,SI,0
D-1,'21:00',hourly product,SI,0
D-1,'22:00',hourly product,SI,0
D-1,'23:00',hourly product,SI,0
