Year,Country,Production (Mt),Capacity (Mt)
2022,Germany,1.74,0.41
2023,Germany,1.40,0.59
2022,Netherlands,0.98,0.45
2023,Netherlands,1.16,0.32
2022,Poland,0.78,0.32
2023,Poland,7.29,0.45
2022,France,0.55,0.27
2023,France,0.55,0.37
2022,Italy,0.61,0.22
2023,Italy,0.55,0.29
2022,Spain,0.61,0.18
2023,Spain,0.57,0.19
2022,Belgium,0.41,0.11
2023,Belgium,0.43,0.09
2022,Greece,0.33,0.03
2023,Greece,0.35,0.04
2022,Lithuania,0.14,0.12
2023,Lithuania,0.15,0.12
2022,Hungary,0.19,0.07
2023,Hungary,0.20,0.06
2022,Romania,0.13,0.11
2023,Romania,0.10,0.15
2022,Slovakia,0.11,0.12
2023,Slovakia,0.17,0.05
2022,Sweden,0.18,0.07
2023,Sweden,0.16,0.05
2022,Finland,0.18,0.02
2023,Finland,0.18,0.02
