Country,Year,Installed electrolyser capacity [MW]
Austria,2022,6.50
Austria,2023,10.70
Austria,2024,17.70
Denmark,2022,4.00
Denmark,2023,16.00
Denmark,2024,34.00
Finland,2022,9.70
Finland,2023,9.70
Finland,2024,10.20
France,2022,5.25
France,2023,18.45
France,2024,21.45
Germany,2022,67.71
Germany,2023,73.82
Germany,2024,120.11
Hungary,2022,0.00
Hungary,2023,2.00
Hungary,2024,13.00
Italy,2022,1.50
Italy,2023,1.50
Italy,2024,1.50
Netherlands,2022,2.40
Netherlands,2023,4.90
Netherlands,2024,7.40
Poland,2022,0.00
Poland,2023,0.00
Poland,2024,7.50
Spain,2022,25.00
Spain,2023,36.50
Spain,2024,38.50
Sweden,2022,9.20
Sweden,2023,29.20
Sweden,2024,34.20
2022,133
2023,205
2024,308
