Country,Interruptibility Scheme
AT,No Interruptibility Scheme
BE,No Interruptibility Scheme
BG,No Interruptibility Scheme
CH,No Interruptibility Scheme
CZ,No Interruptibility Scheme
DE,Interruptibility Scheme active
DK,No Interruptibility Scheme
EE,No Interruptibility Scheme
ES,Interruptibility Scheme active
FI,No Interruptibility Scheme
FR,Interruptibility Scheme active
GR,Interruptibility Scheme active
HR,No Interruptibility Scheme
HU,No Interruptibility Scheme
IE,Interruptibility Scheme phased out
IT,Interruptibility Scheme active
LT,No Interruptibility Scheme
LU,No Interruptibility Scheme
LV,No Interruptibility Scheme
NL,No Interruptibility Scheme
NO,No Interruptibility Scheme
PL,Interruptibility Scheme active
PT,Interruptibility Scheme active
RO,No Interruptibility Scheme
SE,No Interruptibility Scheme
SEM,Interruptibility Scheme phased out
SI,No Interruptibility Scheme
SK,No Interruptibility Scheme
