Delivery year,Group,Capacity (GW),"Total payments (for all groups, million euros)"
2028,Natural gas,21.43,2151.25
2028,Coal,8.02,2151.25
2028,Demand response and battery storage,2.12,2151.25
2028,Hydropower,1.33,2151.25
2028,RES,0.15,2151.25
2028,Other,1.14,2151.25
2029,Natural gas,19.22,1912.42
2029,Coal,4.18,1912.42
2029,Demand response and battery storage,1.89,1912.42
2029,Hydropower,1.33,1912.42
2029,RES,0.15,1912.42
2029,Other,1.14,1912.42
2030,Natural gas,18.04,1900.68
2030,Coal,4.18,1900.68
2030,Demand response and battery storage,1.89,1900.68
2030,Hydropower,1.33,1900.68
2030,RES,0.15,1900.68
2030,Other,1.14,1900.68
2031,Natural gas,18.04,1880.23
2031,Coal,3.83,1880.23
2031,Demand response and battery storage,1.88,1880.23
2031,Hydropower,1.32,1880.23
2031,RES,0.15,1880.23
2031,Other,1.14,1880.23
2032,Natural gas,17.88,1849.89
2032,Coal,3.69,1849.89
2032,Demand response and battery storage,1.84,1849.89
2032,Hydropower,0.26,1849.89
2032,RES,0.14,1849.89
2032,Other,1.14,1849.89
2033,Natural gas,17.29,1789.63
2033,Coal,3.69,1789.63
2033,Demand response and battery storage,1.77,1789.63
2033,Hydropower,0.21,1789.63
2033,RES,0.14,1789.63
2033,Other,1.14,1789.63
2034,Natural gas,16.61,1681.96
2034,Coal,3.69,1681.96
2034,Demand response and battery storage,1.72,1681.96
2034,Hydropower,0.07,1681.96
2034,RES,0.08,1681.96
2034,Other,1.11,1681.96
2035,Natural gas,15.46,1487.18
2035,Coal,3.69,1487.18
2035,Demand response and battery storage,1.57,1487.18
2035,Hydropower,0.07,1487.18
2035,RES,0.08,1487.18
2035,Other,1.04,1487.18
