xelectrix Power GmbH,worldwide,Storage system,XPB-W11 - Wall,LiFePO4,11,20-40,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-W11 - Wall,LiFePO4,11,20-40,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-W35 - Wall,LiFePO4,35,40,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-P11 - Pro,LiFePO4,11,20-120,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-P35 - Pro,LiFePO4,35,40-120,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-B35 - Basic,LiFePO4,35,40-140,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-B80 - Basic,LiFePO4,80,80-140,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U35-M10 - Unlimited,LiFePO4,35,40-240,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U80 -M10 - Unlimited,LiFePO4,80,100-240,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U150-M10 -Unlimited,LiFePO4,150,140-240,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U150-M20 -Unlimited,LiFePO4,150,140-480,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U250-M20 -Unlimited,LiFePO4,250,240-480,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U500-M20 -Unlimited,LiFePO4,500,480,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U250-M40 -Unlimited,LiFePO4,250,240-1000,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-U500-M40 -Unlimited,LiFePO4,500,480-1000,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-MX750-Unlimited,LiFePO4,750,,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-MX1000-Unlimited,LiFePO4,1000,,no,yes,02/21
xelectrix Power GmbH,worldwide,Storage system,XPB-MB40 -Unlimited,LiFePO4,,740-1200,no,yes,02/21
Westenergie AG,Europe,Storage projects,Energy storage system,"Lithium ions, depending on the application",50 - 60000+,50 - 60000+,yes,no,02/21
WEMAG Projektgesellschaft GmbH,D-A-CH,Storage system,WBS (WEMAG Battery Station),Li-ion NMC,250 - 2000,250 - 2000,yes,yes,02/21
VENSYS Elektrotechnik GmbH,EMEA,Inverter,VENCON Battery,LiNMC; LiFePO4; Lead; Supercaps,50 - 10000 kW,50 - 10000,yes,yes,02/21
VENSYS Elektrotechnik GmbH,EMEA,Inverter,VENCON Hybrid,LiNMC; LiFePO4; Lead; Supercaps,50 - 10000 kW,50 - 10000,yes,no,02/21
Vela Solaris,worldwide,Components,"Polysun, simulation software",,,,no,yes,02/21
Vattenfall,"GER, DNK, FRA, NLD, SWE, UK",Storage projects,Vattenfall battery energy storage system,Lithium ions,240-22.000,264-20.000,no,yes,02/21
VARTA Storage GmbH,D-A-CH,Storage system,VARTA flex storage E,Lithium ions,36 - 600,75 - 1000,no,yes,02/21
VARTA Storage GmbH,D-A-CH,Storage system,VARTA flex storage P,Lithium ions,36 - 600,52 - 1000,no,yes,02/21
