Country,"Availability of regulated contracts, numerical","Availability of regulated contracts, text",Share of household consumers under regulated contracts
AT,0,Without regulated contracts,
BE,1,With regulated contracts,11%
BG,1,With regulated contracts,100%
CY,1,With regulated contracts,
CZ,0,Without regulated contracts,
DE,0,Without regulated contracts,
DK,0,Without regulated contracts,
EE,0,Without regulated contracts,
ES,1,With regulated contracts,28%
FI,0,Without regulated contracts,
FR,1,With regulated contracts,57%
GR,1,With regulated contracts,72%
HR,1,With regulated contracts,100%
HU,1,With regulated contracts,100%
IE,0,Without regulated contracts,
IT,1,With regulated contracts,29%
LT,1,With regulated contracts,25%
LU,0,Without regulated contracts,
LV,1,With regulated contracts,
MT,1,With regulated contracts,100%
NL,0,Without regulated contracts,
NO,0,Without regulated contracts,
PL,1,With regulated contracts,63%
PT,1,With regulated contracts,18%
RO,1,With regulated contracts,
SE,0,Without regulated contracts,
SI,0,Without regulated contracts,
SK,1,With regulated contracts,
