Date,Average day-ahead price (EUR/MWh),Average daily maximum price (EUR/MWh),Average daily minimum price (EUR/MWh),US average wholesale price (EUR/MWh)
0/1/19,61.90,130.90,3.80,31.70
0/1/19,49.10,87.90,15.20,34.20
0/1/19,41.00,76.90,−1.80,29.60
0/1/19,44.40,81.00,−6.10,24.40
0/1/19,43.20,95.70,1.50,23.60
0/1/19,39.90,97.70,−23.00,23.90
0/1/19,47.00,96.40,17.20,29.90
0/1/19,46.30,93.20,8.40,47.50
0/1/19,45.40,114.00,7.00,40.20
0/1/19,46.20,88.10,10.00,27.20
0/1/19,44.90,95.70,11.90,29.30
0/1/19,39.70,94.10,−3.50,26.40
0/1/20,40.30,94.60,10.70,23.10
0/1/20,31.70,71.80,−.50,21.10
0/1/20,26.40,70.90,−8.80,19.90
0/1/20,20.80,60.80,−23.00,17.90
0/1/20,21.20,59.20,−20.20,17.70
0/1/20,28.80,93.00,−3.50,19.20
0/1/20,31.40,60.40,−7.20,24.60
0/1/20,37.10,98.40,4.40,35.70
0/1/20,42.50,152.40,2.10,22.70
0/1/20,37.60,120.30,−5.50,24.00
0/1/20,40.90,154.00,−2.60,22.50
0/1/20,48.20,162.40,−4.30,23.60
0/1/21,55.60,130.90,−4.10,23.40
0/1/21,50.20,160.20,4.60,226.90
0/1/21,50.20,129.00,1.70,22.30
0/1/21,56.80,131.10,−10.40,25.20
0/1/21,58.20,117.50,−23.40,25.50
0/1/21,74.60,152.30,−7.60,39.00
0/1/21,87.50,148.60,16.20,46.80
0/1/21,93.30,172.00,−4.00,46.00
0/1/21,130.30,241.90,44.70,47.40
0/1/21,153.30,374.30,13.70,55.20
0/1/21,173.30,404.80,25.60,51.50
0/1/21,222.40,636.20,14.70,40.80
0/1/22,173.30,365.90,5.10,51.30
0/1/22,153.80,352.20,23.60,43.80
0/1/22,234.90,659.10,30.90,40.50
0/1/22,169.00,477.20,−11.10,60.40
0/1/22,175.90,356.70,1.30,77.70
0/1/22,206.00,472.70,12.30,90.10
0/1/22,288.30,743.70,26.70,109.00
0/1/22,402.50,1207.50,43.50,111.70
0/1/22,317.90,680.20,19.90,108.60
0/1/22,163.60,508.50,16.50,64.90
0/1/22,186.60,480.90,15.20,61.90
0/1/22,239.80,615.90,−4.40,98.90
0/1/23,123.60,281.40,−2.20,52.50
0/1/23,130.40,248.90,26.20,38.70
0/1/23,103.70,221.00,1.30,35.20
0/1/23,95.40,204.70,−8.30,36.20
0/1/23,79.40,226.60,−42.90,28.50
0/1/23,90.70,204.80,−11.90,40.90
0/1/23,82.80,200.70,−163.10,52.10
0/1/23,91.20,321.80,−10.90,82.40
0/1/23,93.90,366.30,−2.00,45.10
0/1/23,89.00,267.80,−3.00,42.50
0/1/23,93.10,334.50,−18.80,39.00
0/1/23,79.30,251.40,−6.50,31.70
0/1/24,87.80,453.50,0.50,62.10
0/1/24,64.80,163.10,3.20,25.00
0/1/24,61.80,205.80,−4.10,21.90
0/1/24,56.40,189.20,−44.50,23.70
0/1/24,64.30,231.70,−61.20,31.70
0/1/24,76.60,293.80,−38.90,33.20
0/1/24,84.60,381.50,−45.20,43.50
0/1/24,89.70,410.70,−34.90,38.30
0/1/24,81.60,532.30,−10.00,34.10
0/1/24,82.40,301.20,−6.90,35.50
0/1/24,113.90,519.00,16.00,30.50
0/1/24,108.90,642.30,2.80,38.40
