Date,Aggregation method,Day-ahead price [EUR/MWh]
01/01/2019,Average,61.90
01/01/2019,Minimum,3.80
01/01/2019,Maximum,130.90
01/02/2019,Average,49.10
01/02/2019,Minimum,15.20
01/02/2019,Maximum,87.90
01/03/2019,Average,41.00
01/03/2019,Minimum,−1.80
01/03/2019,Maximum,76.90
01/04/2019,Average,44.40
01/04/2019,Minimum,−6.10
01/04/2019,Maximum,81.00
01/05/2019,Average,43.20
01/05/2019,Minimum,1.50
01/05/2019,Maximum,95.70
01/06/2019,Average,39.90
01/06/2019,Minimum,−23.00
01/06/2019,Maximum,97.70
01/07/2019,Average,47.00
01/07/2019,Minimum,17.20
01/07/2019,Maximum,96.40
01/08/2019,Average,46.30
01/08/2019,Minimum,8.40
01/08/2019,Maximum,93.20
01/09/2019,Average,45.40
01/09/2019,Minimum,7.00
01/09/2019,Maximum,114.00
01/10/2019,Average,46.20
01/10/2019,Minimum,10.00
01/10/2019,Maximum,88.10
01/11/2019,Average,44.90
01/11/2019,Minimum,11.90
01/11/2019,Maximum,95.70
01/12/2019,Average,39.70
01/12/2019,Minimum,−3.50
01/12/2019,Maximum,94.10
01/01/2020,Average,40.30
01/01/2020,Minimum,10.70
01/01/2020,Maximum,94.60
01/02/2020,Average,31.70
01/02/2020,Minimum,−.50
01/02/2020,Maximum,71.80
01/03/2020,Average,26.40
01/03/2020,Minimum,−8.80
01/03/2020,Maximum,70.90
01/04/2020,Average,20.80
01/04/2020,Minimum,−23.00
01/04/2020,Maximum,60.80
01/05/2020,Average,21.20
01/05/2020,Minimum,−20.20
01/05/2020,Maximum,59.20
01/06/2020,Average,28.80
01/06/2020,Minimum,−3.50
01/06/2020,Maximum,93.00
01/07/2020,Average,31.40
01/07/2020,Minimum,−7.20
01/07/2020,Maximum,60.40
01/08/2020,Average,37.10
01/08/2020,Minimum,4.40
01/08/2020,Maximum,98.40
01/09/2020,Average,42.50
01/09/2020,Minimum,2.10
01/09/2020,Maximum,152.40
01/10/2020,Average,37.60
01/10/2020,Minimum,−5.50
01/10/2020,Maximum,120.30
01/11/2020,Average,40.90
01/11/2020,Minimum,−2.60
01/11/2020,Maximum,154.00
01/12/2020,Average,48.20
01/12/2020,Minimum,−4.30
01/12/2020,Maximum,162.40
01/01/2021,Average,55.60
