"Date, 2022",Demand (bcm),Member state
January,0.76,Belgium
February,0.62,Belgium
March,0.84,Belgium
April,1.27,Belgium
May,0.93,Belgium
June,1.23,Belgium
July,1.17,Belgium
August,1.31,Belgium
September,0.99,Belgium
October,1.19,Belgium
November,1.06,Belgium
December,1.17,Belgium
January,0.18,Croatia
February,0.18,Croatia
March,0.16,Croatia
April,0.19,Croatia
May,0.24,Croatia
June,0.20,Croatia
July,0.25,Croatia
August,0.29,Croatia
September,0.25,Croatia
October,0.12,Croatia
November,0.26,Croatia
December,0.30,Croatia
January,0.02,Finland
February,0.03,Finland
March,0.02,Finland
April,0.02,Finland
May,0.03,Finland
June,0.02,Finland
July,0.02,Finland
August,0.03,Finland
September,0.02,Finland
October,0.01,Finland
November,0.04,Finland
December,0.07,Finland
January,3.14,France
February,2.42,France
March,3.14,France
April,3.50,France
May,3.20,France
June,1.64,France
July,2.96,France
August,3.16,France
September,2.65,France
October,2.81,France
November,3.26,France
December,3.76,France
December,0.10,Germany
January,0.33,Greece
February,0.26,Greece
March,0.24,Greece
April,0.14,Greece
May,0.21,Greece
June,0.35,Greece
July,0.38,Greece
August,0.37,Greece
September,0.25,Greece
October,0.25,Greece
November,0.46,Greece
December,0.37,Greece
January,1.03,Italy
February,0.91,Italy
March,1.07,Italy
April,1.30,Italy
May,1.40,Italy
June,1.46,Italy
July,1.55,Italy
August,0.69,Italy
September,1.31,Italy
October,1.40,Italy
November,1.15,Italy
December,1.50,Italy
January,0.03,Lithuania
February,0.12,Lithuania
March,0.18,Lithuania
April,0.28,Lithuania
May,0.30,Lithuania
June,0.43,Lithuania
July,0.30,Lithuania
August,0.33,Lithuania
September,0.29,Lithuania
October,0.28,Lithuania
November,0.27,Lithuania
December,0.36,Lithuania
January,1.05,Netherlands
February,1.11,Netherlands
March,1.34,Netherlands
April,1.25,Netherlands
May,1.26,Netherlands
June,1.40,Netherlands
July,1.45,Netherlands
August,1.64,Netherlands
September,1.85,Netherlands
October,1.68,Netherlands
November,1.53,Netherlands
December,1.43,Netherlands
January,0.22,Poland
February,0.33,Poland
March,0.54,Poland
April,0.44,Poland
May,0.61,Poland
June,0.61,Poland
July,0.65,Poland
August,0.42,Poland
September,0.44,Poland
October,0.63,Poland
November,0.53,Poland
December,0.68,Poland
January,0.65,Portugal
February,0.57,Portugal
March,0.48,Portugal
April,0.50,Portugal
May,0.68,Portugal
June,0.57,Portugal
July,0.38,Portugal
August,0.67,Portugal
September,0.36,Portugal
October,0.44,Portugal
November,0.47,Portugal
December,0.46,Portugal
January,2.33,Spain
February,2.20,Spain
March,2.42,Spain
April,2.73,Spain
May,2.44,Spain
June,2.39,Spain
July,2.47,Spain
August,1.86,Spain
September,2.03,Spain
October,1.99,Spain
November,2.30,Spain
December,2.18,Spain
January,0.03,Sweden
February,0.03,Sweden
March,0.03,Sweden
April,0.02,Sweden
May,0.03,Sweden
June,0.01,Sweden
July,0.02,Sweden
August,0.02,Sweden
September,0.01,Sweden
October,0.03,Sweden
November,0.01,Sweden
December,0.01,Sweden
