Market Type,Area,Cost of Balancing Energy (€/MWh),(FRR+RR) Cost of Balancing Capacity (€/MWh),(FCR only) Cost of Balancing Capacity (€/MWh)
Markets with elements of price regulation,SK,0.57,5.03,0.45
Markets with elements of price regulation,FR,0.26,0.32,0.16
Markets with non-regulated prices,RO,2.76,3.31,0.00
Markets with non-regulated prices,HU,1.26,2.27,0.45
Markets with non-regulated prices,SI,0.94,2.90,0.00
Markets with non-regulated prices,CH,0.36,1.51,0.14
Markets with non-regulated prices,BE,0.53,1.17,0.25
Markets with non-regulated prices,PT,0.92,0.68,0.00
Markets with non-regulated prices,AT,0.84,0.31,0.12
Markets with non-regulated prices,Nordic area,0.13,0.67,0.42
Markets with non-regulated prices,ES,0.39,0.81,0.00
Markets with non-regulated prices,NL,0.24,0.35,0.13
Markets with non-regulated prices,DE_LU,0.24,0.13,0.16
