Member State,Year,Label,Quantity (MWh)
HU,2022,Capacity (FRR + RR),16.65
CZ,2022,Capacity (FRR + RR),10.90
NL,2022,Capacity (FRR + RR),8.96
CH,2022,Capacity (FRR + RR),7.46
DK,2022,Capacity (FRR + RR),6.67
GR,2022,Energy,6.41
SK,2022,Capacity (FRR + RR),4.10
SE,2022,Capacity (FCR only),4.03
BE,2022,Capacity (FRR + RR),3.08
BE,2022,Energy,2.85
CH,2022,Energy,2.80
ES,2022,Capacity (FRR + RR),2.31
DK,2022,Capacity (FCR only),1.97
PT,2022,Capacity (FRR + RR),1.93
AT,2022,Energy,1.78
DK,2022,Energy,1.70
RO,2022,Energy,1.68
HR,2022,Capacity (FRR + RR),1.64
ES,2022,Energy,1.60
SI,2022,Capacity (FRR + RR),1.59
PT,2022,Energy,1.57
NO,2022,Capacity (FRR + RR),1.39
NO,2022,Energy,1.38
SI,2022,Energy,1.35
AT,2022,Capacity (FRR + RR),1.34
RO,2022,Capacity (FRR + RR),1.13
CZ,2022,Energy,1.09
FR,2022,Energy,0.99
SE,2022,Capacity (FRR + RR),0.92
FI,2022,Energy,0.88
GR,2022,Capacity (FRR + RR),0.81
HU,2022,Energy,0.79
FI,2022,Capacity (FRR + RR),0.70
SK,2022,Energy,0.60
SE,2022,Energy,0.53
HU,2022,Capacity (FCR only),0.46
NL,2022,Energy,0.42
SK,2022,Capacity (FCR only),0.36
CZ,2022,Capacity (FCR only),0.34
FR,2022,Capacity (FRR + RR),0.34
HR,2022,Energy,0.34
NO,2022,Capacity (FCR only),0.34
BE,2022,Capacity (FCR only),0.29
NL,2022,Capacity (FCR only),0.24
FR,2022,Capacity (FCR only),0.23
AT,2022,Capacity (FCR only),0.22
CH,2022,Capacity (FCR only),0.18
PL,2022,Energy,0.17
SI,2022,Capacity (FCR only),0.17
FI,2022,Capacity (FCR only),0.13
GR,2022,Capacity (FCR only),0.08
PL,2022,Capacity (FRR + RR),0.05
PL,2022,Capacity (FCR only),0.01
BG,2022,Energy,
GE,2022,Energy,
LU,2022,Energy,
