Member state,Terminal,"Unlodad, store and regas (euros/MWh)",Network access (euros/MWh),All terminal services and access into network (euros/MWh)
Belgium,Zeebruge,0.65,0.09,0.74
Croatia,Krk,1.05,0.27,1.32
Finland,Inkoo,2.46,0.39,2.85
France,Fos Cavaou,1.41,0.26,1.67
France,Fos Tonkin,0.97,0.26,1.23
France,Montoir,0.64,0.26,0.90
France,Dunkerque,0.00,0.00,0.00
Greece,Revithoussa,0.34,0.35,0.69
Italy,ToscanaLivorno,1.75,0.31,2.06
Italy,Adriatic,1.28,0.23,1.51
Italy,Panigaglia,0.86,0.26,1.12
Italy,Piombino,0.89,0.31,1.20
Lithuania,SC Klaipedos Nafta,1.41,0.39,1.80
Poland,Swinoujscie,1.62,0.00,1.62
Portugal,Sines,0.37,0.23,0.60
Spain,"Huelva, Cartagena, Sagunto, Musel, Barcelona, Bilbao and Mugardos",0.28,0.43,0.71
Netherland,GATE,1.14,0.31,1.44
Netherlands,Eems Energy,1.64,0.31,1.94
Germany,Brunsbüttel,1.88,0.58,2.46
Germany,Wilhelmshaven,1.98,0.58,2.56
