Year,Quarter,Month,Source,Price (EUR/MWh)
2023,Qtr 1,January,LNG ACER,55.46
2023,Qtr 1,January,LNG Argus,56.50
2023,Qtr 1,January,LNG Platts,53.40
2023,Qtr 1,January,TTF ICE,55.42
2023,Qtr 1,February,LNG ACER,50.29
2023,Qtr 1,February,LNG Argus,46.67
2023,Qtr 1,February,LNG Platts,46.91
2023,Qtr 1,February,TTF ICE,50.84
2023,Qtr 1,March,LNG ACER,40.14
2023,Qtr 1,March,LNG Argus,39.43
2023,Qtr 1,March,LNG Platts,39.71
2023,Qtr 1,March,TTF ICE,44.23
2023,Qtr 2,April,LNG ACER,36.36
2023,Qtr 2,April,LNG Argus,36.07
2023,Qtr 2,April,LNG Platts,35.60
2023,Qtr 2,April,TTF ICE,42.07
2023,Qtr 2,May,LNG ACER,28.71
2023,Qtr 2,May,LNG Argus,26.62
2023,Qtr 2,May,LNG Platts,27.21
2023,Qtr 2,May,TTF ICE,30.77
2023,Qtr 2,June,LNG ACER,29.73
2023,Qtr 2,June,LNG Argus,31.73
2023,Qtr 2,June,LNG Platts,31.05
2023,Qtr 2,June,TTF ICE,33.60
2023,Qtr 3,July,LNG ACER,29.86
2023,Qtr 3,July,LNG Argus,28.91
2023,Qtr 3,July,LNG Platts,29.21
2023,Qtr 3,July,TTF ICE,29.63
2023,Qtr 3,August,LNG ACER,33.45
2023,Qtr 3,August,LNG Argus,35.95
2023,Qtr 3,August,LNG Platts,35.63
2023,Qtr 3,August,TTF ICE,34.85
2023,Qtr 3,September,LNG ACER,36.28
2023,Qtr 3,September,LNG Argus,36.81
2023,Qtr 3,September,LNG Platts,36.50
2023,Qtr 3,September,TTF ICE,36.73
2023,Qtr 4,October,LNG ACER,43.69
2023,Qtr 4,October,LNG Argus,46.48
2023,Qtr 4,October,LNG Platts,48.14
2023,Qtr 4,October,TTF ICE,46.93
2023,Qtr 4,November,LNG ACER,42.85
2023,Qtr 4,November,LNG Argus,43.72
2023,Qtr 4,November,LNG Platts,43.73
2023,Qtr 4,November,TTF ICE,45.75
2023,Qtr 4,December,LNG ACER,36.41
2023,Qtr 4,December,LNG Argus,33.83
2023,Qtr 4,December,LNG Platts,33.75
2023,Qtr 4,December,TTF ICE,35.97
2024,Qtr 1,January,LNG ACER,27.91
2024,Qtr 1,January,LNG Argus,27.61
2024,Qtr 1,January,LNG Platts,27.61
2024,Qtr 1,January,TTF ICE,29.91
2024,Qtr 1,February,LNG ACER,24.87
2024,Qtr 1,February,LNG Argus,23.89
2024,Qtr 1,February,LNG Platts,24.02
2024,Qtr 1,February,TTF ICE,25.76
2024,Qtr 1,March,LNG ACER,25.06
2024,Qtr 1,March,LNG Argus,25.30
2024,Qtr 1,March,LNG Platts,25.42
2024,Qtr 1,March,TTF ICE,26.58
