Time,Energy product,Yoy growth (%),Index 2019=100
2020 Q1,Electricity,−2.90,99.20
2020 Q2,Electricity,−9.40,97.00
2020 Q3,Electricity,−2.70,96.40
2020 Q4,Electricity,−.70,96.20
2021 Q1,Electricity,2.80,96.90
2021 Q2,Electricity,10.20,99.10
2021 Q3,Electricity,2.30,99.60
2021 Q4,Electricity,2.80,100.30
2022 Q1,Electricity,−1.70,99.90
2022 Q2,Electricity,−2.80,99.20
2022 Q3,Electricity,−4.30,98.20
2022 Q4,Electricity,−8.70,95.90
2023 Q1,Electricity,−5.30,94.50
2023 Q2,Electricity,−5.50,93.30
2023 Q3,Electricity,−1.60,92.90
2023 Q4,Electricity,3.00,93.60
2024 Q1,Electricity,2.40,94.30
2024 Q2,Electricity,1.40,94.60
2024 Q3,Electricity,2.20,95.00
2024 Q4,Electricity,0.10,95.10
2020 Q1,Gas,−4.00,98.60
2020 Q2,Gas,−10.50,96.60
2020 Q3,Gas,−.70,96.50
2020 Q4,Gas,2.60,97.20
2021 Q1,Gas,7.50,99.60
2021 Q2,Gas,19.00,102.90
2021 Q3,Gas,−10.20,101.20
2021 Q4,Gas,0.70,101.40
2022 Q1,Gas,−8.00,98.60
2022 Q2,Gas,−15.70,95.30
2022 Q3,Gas,−7.20,94.20
2022 Q4,Gas,−21.70,87.70
2023 Q1,Gas,−13.10,83.50
2023 Q2,Gas,−8.20,82.10
2023 Q3,Gas,−5.50,81.30
2023 Q4,Gas,0.70,81.40
2024 Q1,Gas,−1.80,80.90
2024 Q2,Gas,−5.60,80.00
2024 Q3,Gas,−.50,79.90
2024 Q4,Gas,7.30,81.90
