"BIO_ANALYTICAL_METHOD_CODE","BIO_ANALYTICAL_METHOD_NAME","BIO_ANALYTICAL_METHOD_DESC","BIO_ANALYTICAL_PARAMETER_NAME","BIO_ANALY_METHOD_CATEGORY_CODE","BIO_ANALY_METHOD_CATEGORY_DESC"
"A00","No analytical methods used","No analytical methods used/reported at the facility","Analytical Method Not Used","BLK","No Methods Used"
"A01","ASTM Method D4994 - Enteric Viruses","ASTM Method D4994 - Enteric Viruses, ""Standard Practice for Recovery of Viruses From Wastewater Sludges,"" ASTM International","Enteric Viruses","PAT","Pathogens"
"A02","Other Enteric Viruses Analytical Method","See Other Method Description field for additional information.","Enteric Viruses","PAT","Pathogens"
"A03","Standard Method 9222 - Fecal coliform","Standard Method 9222 - Fecal Coliform, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association [Note: This method is only allowable for Class B sewage sludge]","Fecal Coliform","PAT","Pathogens"
"A04","Standard Method 9221 - Fecal coliform","Standard Method 9221 - Fecal Coliform, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Fecal Coliform","PAT","Pathogens"
"A05","EPA Method 1680 - Fecal Coliform","EPA Method 1680 - Fecal Coliform, ""Fecal Coliforms in Sewage Sludge by Multiple-Tube Fermentation using Lauryl Tryptose Broth and EC Medium,"" EPA-821-R-10-003, April 2010","Fecal Coliform","PAT","Pathogens"
"A06","EPA Method 1681 - Fecal Coliform","EPA Method 1681 - Fecal Coliform, Fecal Coliforms in Sewage Sludge (Biosolids) by MultipleTube Fermentation using A-1 medium, EPA-821-R-04-027, June 2005","Fecal Coliform","PAT","Pathogens"
"A07","Other Fecal Coliform Analytical Method","See Other Method Description field for additional information.","Fecal Coliform","PAT","Pathogens"
"A08","W.A. Yanko Method - Helminth ova.","W.A. Yanko Method - Helminth Ova., ""Occurrence of Pathogens in Distribution and Marketing Municipal Sludges,"" EPA-600-1-87-014, 1987","Helminth ova.","PAT","Pathogens"
"A09","Other Helminth ova. Analytical Method","See Other Method Description field for additional information.","Helminth ova.","PAT","Pathogens"
"A10","Standard Method 9260 - Salmonella","Standard Method 9260 - Salmonella, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Salmonella sp. Bacteria","PAT","Pathogens"
"A11","EPA Method 1682 - Salmonella","EPA Method 1682, ""Salmonella in Sewage Sludge (Biosolids) by Modified Semisolid Rappaport-Vassiliadis (MSRV) Medium,"" EPA-821-R-06-014, July 2006","Salmonella sp. Bacteria","PAT","Pathogens"
