"STATISTICAL_BASE_CODE","STATISTICAL_BASE_SHORT_DESC","STATISTICAL_BASE_LONG_DESC","STATISTICAL_BASE_MONTHLY_AVG","STATUS_FLAG"
"TC","SEAS TDT","Season To Date Total","N","A"
"AA","ALLWLOAD","Allowed Load","N","A"
"AB","ANNL AVG","Annual Average","N","A"
"AC","ANNL MAX","Annual Maximum","N","A"
"AD","ANNL TOT","Annual Total","N","A"
"AE","ARI MEAN","Arithmetic Mean","N","A"
"AF","AVERAGE","Average","N","A"
"AG","AVG BDL","Average Below Detectable","N","I"
"AH","AV VALUE","Average Value","N","A"
"AL","AN MS LD","Annual Mass Loading","N","A"
"CA","ALLWCONC","Allowed Concentration","N","A"
"DA","DA GEOAV","Daily Geometric Average","A","A"
"DB","DAILY AV","Daily Average","A","A"
"DC","DAILY MN","Daily Minimum",,"A"
"DD","DAILY MX","Daily Maximum","N","A"
"DE","DLYAVMIN","Daily Average Minimum",,"A"
"DF","DLYMDIAN","Daily Median","N","A"
"DG","DPD AVG","Discharge Per Day Average","N","A"
"DH","DPD GEO","Discharge per Day Geometric","N","A"
"DI","DPD MAX","Discharge Per Day Maximum","N","A"
"DJ","DPD MIN","Discharge Per Day Minimum",,"A"
"DK","DPD TOT","Discharge Per Day Total","N","A"
"DL","DA GEOMN","Daily Geometric Minimum",,"A"
"DM","DA GEO","Daily Geometric","N","A"
"DN","DISCHARG","Discharged","N","A"
"ET","EVNT TOT","Event Total","N","A"
"GA","GEO MEAN","Geometric Mean","N","A"
"HA","HI 7D AV","High 7 Day Average","N","A"
"HB","HI WK AV","High Weekly Average","N","A"
"HM","HR AV MN","Hourly Avg Minimum",,"A"
"HX","HR AV MX","Hourly Avg Maximum","N","A"
"IA","INST MAX","Instantaneous Maximum","N","A"
"IB","INST MIN","Instantaneous Minimum",,"A"
"IC","INSTMNGE","Instantaneous Min. Geom",,"A"
"LA","LOG MEAN","Logarithmic Mean","N","A"
"LB","LOGMOMED","Logrithmic Monthly Median","N","A"
"LE","LBS/EVNT","Pounds Per Event","N","A"
"MA","MAX BDL","Maximum Bdl","N","A"
"MB","MAXIMUM","Maximum","N","A"
