Area,Year,Trading Volume in %
Spain,2011,19.00
Spain,2012,20.00
Spain,2013,14.00
Spain,2014,14.00
Spain,2015,12.00
Spain,2016,12.00
Spain,2017,14.00
Germany/Luxembourg,2011,0.00
Germany/Luxembourg,2012,0.00
Germany/Luxembourg,2013,0.00
Germany/Luxembourg,2014,5.00
Germany/Luxembourg,2015,7.00
Germany/Luxembourg,2016,7.00
Germany/Luxembourg,2017,9.00
Portugal,2011,6.00
Portugal,2012,11.00
Portugal,2013,12.00
Portugal,2014,8.00
Portugal,2015,8.00
Portugal,2016,9.00
Portugal,2017,9.00
Italy,2011,7.00
Italy,2012,8.00
Italy,2013,8.00
Italy,2014,8.00
Italy,2015,9.00
Italy,2016,10.00
Italy,2017,8.00
Great Britain,2011,7.00
Great Britain,2012,7.00
Great Britain,2013,7.00
Great Britain,2014,7.00
Great Britain,2015,8.00
Great Britain,2016,8.00
Great Britain,2017,8.00
Austria,2011,0.00
Austria,2012,0.00
Austria,2013,0.00
Austria,2014,1.00
Austria,2015,2.00
Austria,2016,3.00
Austria,2017,4.00
Switzerland,2011,0.00
Switzerland,2012,0.00
Switzerland,2013,1.00
Switzerland,2014,2.00
Switzerland,2015,2.00
Switzerland,2016,3.00
Switzerland,2017,3.00
the Netherlands,2011,0.00
the Netherlands,2012,0.00
the Netherlands,2013,0.00
the Netherlands,2014,1.00
the Netherlands,2015,1.00
the Netherlands,2016,1.00
the Netherlands,2017,2.00
Nordic + Baltic,2011,0.00
Nordic + Baltic,2012,1.00
Nordic + Baltic,2013,1.00
Nordic + Baltic,2014,1.00
Nordic + Baltic,2015,1.00
Nordic + Baltic,2016,1.00
Nordic + Baltic,2017,2.00
Belgium,2011,0.00
Belgium,2012,0.00
Belgium,2013,0.00
Belgium,2014,1.00
Belgium,2015,1.00
Belgium,2016,1.00
Belgium,2017,1.00
France,2011,0.00
France,2012,1.00
France,2013,1.00
France,2014,1.00
France,2015,1.00
France,2016,1.00
France,2017,1.00
