Country,Status of implementation of the regulatory framework for hydrogen
Austria,Under development
Belgium,In place
Bulgaria,Under development
Croatia,No data
Cyprus,No data
Czechia,Under development
Denmark,In place
Estonia,Not in place
Finland,Under development
France,Not in place
Germany,In place
Greece,Not in place
Hungary,Not in place
Ireland,Under development
Italy,Not in place
Latvia,Not in place
Lithuania,Not in place
Luxembourg,In place
Malta,No data
Netherlands,Under development
Poland,In place
Portugal,Under development
Romania,Under development
Slovakia,No data
Slovenia,Not in place
Spain,In place
Sweden,Under development
