Country,<2500 kWh,2500-5000 kWh,>5000 kWh,Average consumption
Norway,0.73,2.61,96.66,13580
Sweden,8.19,7.86,83.95,6740
Finland,10.53,9.35,80.12,7330
Estonia,14.10,18.85,67.05,3030
France,12.32,26.41,61.28,4110
Slovenia,16.30,27.50,56.20,3760
Bulgaria,16.00,28.99,55.01,
Czechia,23.00,22.00,55.00,2860
Malta,13.55,33.01,53.43,
Luxembourg,17.20,30.00,52.80,3620
Denmark,19.70,27.70,52.60,
Austria,22.07,29.93,48.00,3310
Croatia,19.70,32.41,47.89,2850
Ireland,17.95,35.19,46.86,4010
Cyprus,16.83,37.49,45.68,2840
Belgium,25.87,32.31,41.82,2600
Slovakia,29.10,29.90,41.00,
Portugal,31.09,36.64,32.27,2400
Latvia,42.54,25.67,31.79,
Germany,36.83,34.13,29.04,2570
Hungary,39.85,31.92,28.23,2360
Netherlands,34.00,38.00,28.00,2240
Greece,29.23,43.04,27.73,2890
Spain,36.58,37.04,26.38,2530
Lithuania,53.42,24.47,22.10,1890
Poland,48.25,30.92,20.83,2050
Romania,57.38,25.63,16.99,1590
Italy,49.85,36.63,13.52,1870
