Country,>70000 MWh consumption band,2000-70000 MWh consumption band,<2000 MWh consumption band,No data available,Average annual non-household consumption
Norway,52.13,16.17,31.70,0,225.72
Denmark,39.00,29.00,32.00,0,
Ireland,36.16,31.07,32.77,0,75.70
Bulgaria,35.86,31.87,32.27,0,
Luxembourg,35.30,30.00,34.70,0,75.81
Netherlands,34.00,35.00,31.00,0,
Belgium,33.05,31.33,35.62,0,45.38
Romania,32.76,33.71,33.53,0,113.26
Sweden,30.35,28.45,41.20,0,103.30
Finland,29.53,25.28,45.19,0,124.87
Austria,29.33,39.90,30.77,0,73.27
Greece,28.55,29.08,42.37,0,20.94
Germany,28.25,37.41,34.34,0,92.45
Hungary,25.03,40.09,34.88,0,59.50
France,21.99,27.53,50.47,0,48.58
Slovakia,17.60,42.60,39.80,0,
Portugal,16.90,31.60,51.50,0,32.65
Spain,14.28,40.29,45.43,0,160.44
Poland,12.62,45.16,42.22,0,67.53
Slovenia,11.40,44.00,44.60,0,72.20
Italy,11.37,30.96,57.67,0,27.13
Croatia,9.94,35.35,54.70,0,45.75
Estonia,7.85,46.14,46.01,0,82.32
Lithuania,7.18,61.88,30.95,0,45.88
Cyprus,6.08,27.51,66.41,0,18.47
Malta,4.90,40.62,54.49,0,
Latvia,2.19,36.25,61.56,0,
Czechia,0.00,0.00,0.00,100,9.39
