Country,"Market based fixed price, fixed term",Dynamic per Dir. 944,Market based on monthly var. spot,Other,Regulated fixed price,Regulated variable,For household dynamic contracts
Austria,83%,6%,11%,0%,0%,0%,17%
Belgium,9%,0%,81%,0%,10%,0%,81%
Bulgaria,0%,0%,0%,0%,100%,0%,0%
Cyprus,0%,0%,0%,0%,100%,0%,0%
Czechia,47%,0%,1%,52%,0%,0%,1%
Finland,46%,30%,0%,24%,0%,0%,30%
France,13%,0%,0%,25%,60%,2%,2%
Germany,99%,1%,0%,0%,0%,0%,1%
Great Britain,11%,0%,0%,0%,0%,89%,89%
Hungary,0%,0%,0%,0%,100%,0%,0%
Ireland,1%,0%,0%,99%,0%,0%,0%
Italy,50%,0%,12%,3%,0%,35%,48%
Latvia,85%,15%,0%,0%,0%,0%,15%
Lithuania,61%,2%,7%,0%,27%,3%,12%
Luxembourg,1%,0%,0%,99%,0%,0%,0%
Malta,0%,0%,0%,0%,100%,0%,0%
Netherlands,96%,4%,0%,0%,0%,0%,4%
Norway,3%,93%,0%,0%,0%,4%,97%
Poland,0%,0%,0%,36%,64%,0%,0%
Portugal,84%,0%,1%,0%,14%,0%,1%
Slovakia,0%,0%,0%,0%,100%,0%,0%
Slovenia,0%,0%,0%,0%,100%,0%,0%
Spain,66%,4%,0%,0%,0%,29%,33%
Sweden,14%,14%,54%,18%,0%,0%,68%
