Country,Refining,Ammonia,Methanol,Other chemicals,Novel hydrogen applications,Other
Austria,39%,54%,0%,3%,0%,4%
Belgium,43%,40%,0%,10%,0%,8%
Bulgaria,50%,47%,0%,0%,0%,2%
Czech Republic,44%,37%,0%,14%,0%,5%
Germany,48%,24%,6%,7%,0%,16%
Denmark,99%,0%,1%,0%,0%,1%
Spain,82%,12%,0%,3%,0%,2%
Finland,82%,0%,0%,16%,0%,2%
France,62%,23%,0%,5%,0%,10%
Greece,94%,6%,0%,0%,0%,0%
Croatia,71%,29%,0%,0%,0%,0%
Hungary,30%,34%,0%,32%,0%,4%
Ireland,95%,0%,0%,3%,0%,3%
Italy,92%,4%,0%,2%,0%,3%
Lithuania,36%,64%,0%,0%,0%,0%
Luxembourg,0%,0%,0%,0%,100%,0%
Latvia,0%,0%,0%,0%,94%,6%
Netherlands,41%,34%,0%,20%,0%,5%
Poland,52%,44%,0%,1%,0%,2%
Portugal,87%,0%,0%,10%,0%,3%
Romania,66%,10%,20%,0%,0%,3%
Sweden,79%,0%,4%,15%,0%,6%
Slovakia,48%,45%,0%,6%,0%,1%
Slovenia,0%,0%,0%,86%,0%,14%
