Country,Dynamic per Dir. 944,"Market based fixed price, fixed term",Market based monthly var. spot,Regulated fixed price,Regulated variable contracts,For non-household dynamic contracts,Other
Austria,4%,87%,9%,0%,0%,13%,0%
Belgium,0%,24%,76%,0%,0%,76%,0%
Cyprus,0%,0%,9%,10%,81%,90%,0%
Czechia,4%,28%,0%,0%,0%,4%,68%
Spain,23%,77%,0%,0%,0%,23%,0%
France,0%,35%,0%,30%,3%,3%,32%
Great Britain,0%,11%,0%,0%,89%,89%,0%
Italy,3%,35%,32%,0%,25%,60%,5%
Lithuania,20%,0%,0%,31%,1%,21%,48%
Latvia,52%,48%,0%,0%,0%,52%,0%
Malta,0%,0%,0%,100%,0%,0%,0%
Netherlands,9%,91%,0%,0%,0%,9%,0%
Sweden,14%,14%,54%,0%,0%,68%,18%
