Trade Type,Area,Cross-zonal Trades,Intra-zonal trades
Auctions,Germany/Luxemburg,0%,100%
Auctions,Spain,9%,91%
Auctions,Italy North,23%,77%
Auctions,Portugal,49%,51%
Auctions,Italy Sicily,55%,45%
Auctions,Slovenia,67%,33%
Auctions,Italy Centre-South,76%,24%
Auctions,Italy Sardinia,77%,23%
Auctions,Italy South,86%,14%
Auctions,Italy Centre-North,87%,13%
Continuous Trading,Croatia,0%,100%
Continuous Trading,Czech Republic,0%,100%
Continuous Trading,Great Britain,0%,100%
Continuous Trading,Romania,0%,100%
Continuous Trading,Slovak Republic,0%,100%
Continuous Trading,Slovenia,0%,100%
Continuous Trading,Germany/Luxemburg,13%,87%
Continuous Trading,Austria,41%,59%
Continuous Trading,France,54%,46%
Continuous Trading,Netherlands,60%,40%
Continuous Trading,Finland,60%,40%
Continuous Trading,Lithuania,81%,19%
Continuous Trading,Switzerland,82%,18%
Continuous Trading,Denmark DK1,84%,16%
Continuous Trading,Belgium,86%,14%
Continuous Trading,Sweden SE3,92%,8%
Continuous Trading,Denmark DK2,93%,7%
Continuous Trading,Sweden SE2,96%,4%
Continuous Trading,Sweden SE4,97%,3%
Continuous Trading,Norway NO3,97%,3%
Continuous Trading,Estonia,98%,2%
Continuous Trading,Norway NO1,98%,2%
Continuous Trading,Sweden SE1,99%,1%
Continuous Trading,Norway NO2,99%,1%
Continuous Trading,Latvia,99%,1%
Continuous Trading,Norway NO5,100%,0%
Continuous Trading,Norway NO4,100%,0%
