Country,Minimum targeted electrolyser capacity (GW),Incremental  targeted electrolyser capacity (GW),Maximum  targeted electrolyser capacity (GW)
Slovakia,0.14,0.25,0.39
Spain,12.00,0.00,12.00
Germany,10.00,0.00,10.00
France,6.50,0.00,6.50
Denmark,4.00,2.00,6.00
Portugal,5.50,0.00,5.50
Sweden,5.00,0.00,5.00
Netherlands,3.00,1.00,4.00
Romania,3.98,0.00,3.98
Italy,3.00,0.00,3.00
Poland,2.00,0.00,2.00
Lithuania,1.30,0.00,1.30
Austria,1.00,0.00,1.00
Hungary,0.51,0.00,0.51
Czechia,0.40,0.00,0.40
Greece,0.30,0.00,0.30
Hungary,0.24,0.00,0.24
Belgium,0.15,0.00,0.15
Estonia,0.15,0.00,0.15
Bulgaria,0.06,0.00,0.06
