Country,Category,Value [GW]
Austria,Minimum electrolyser capacity target,1.00
Austria,Incremental electrolyser capacity target,0.00
Austria,Maximum electrolyser capacity target,1.00
Belgium,Minimum electrolyser capacity target,0.20
Belgium,Incremental electrolyser capacity target,0.00
Belgium,Maximum electrolyser capacity target,0.20
Bulgaria,Minimum electrolyser capacity target,0.10
Bulgaria,Incremental electrolyser capacity target,0.00
Bulgaria,Maximum electrolyser capacity target,0.10
Croatia,Minimum electrolyser capacity target,0.10
Croatia,Incremental electrolyser capacity target,1.20
Croatia,Maximum electrolyser capacity target,1.30
Czechia,Minimum electrolyser capacity target,0.40
Czechia,Incremental electrolyser capacity target,0.00
Czechia,Maximum electrolyser capacity target,0.40
Denmark,Minimum electrolyser capacity target,4.00
Denmark,Incremental electrolyser capacity target,2.00
Denmark,Maximum electrolyser capacity target,6.00
Estonia,Minimum electrolyser capacity target,0.20
Estonia,Incremental electrolyser capacity target,0.00
Estonia,Maximum electrolyser capacity target,0.20
Finland,Minimum electrolyser capacity target,0.00
Finland,Incremental electrolyser capacity target,0.00
Finland,Maximum electrolyser capacity target,0.00
France,Minimum electrolyser capacity target,4.50
France,Incremental electrolyser capacity target,0.00
France,Maximum electrolyser capacity target,4.50
Germany,Minimum electrolyser capacity target,10.00
Germany,Incremental electrolyser capacity target,0.00
Germany,Maximum electrolyser capacity target,10.00
Greece,Minimum electrolyser capacity target,0.20
Greece,Incremental electrolyser capacity target,0.00
Greece,Maximum electrolyser capacity target,0.20
Hungary,Minimum electrolyser capacity target,0.20
Hungary,Incremental electrolyser capacity target,0.00
Hungary,Maximum electrolyser capacity target,0.20
Ireland,Minimum electrolyser capacity target,2.00
Ireland,Incremental electrolyser capacity target,0.00
Ireland,Maximum electrolyser capacity target,2.00
Lithuania,Minimum electrolyser capacity target,1.30
Lithuania,Incremental electrolyser capacity target,0.00
Lithuania,Maximum electrolyser capacity target,1.30
Netherlands,Minimum electrolyser capacity target,1.50
Netherlands,Incremental electrolyser capacity target,2.50
Netherlands,Maximum electrolyser capacity target,4.00
Poland,Minimum electrolyser capacity target,2.00
Poland,Incremental electrolyser capacity target,0.00
Poland,Maximum electrolyser capacity target,2.00
Portugal,Minimum electrolyser capacity target,1.50
Portugal,Incremental electrolyser capacity target,1.00
Portugal,Maximum electrolyser capacity target,2.50
Romania,Minimum electrolyser capacity target,2.10
Romania,Incremental electrolyser capacity target,0.00
Romania,Maximum electrolyser capacity target,2.10
Slovakia,Minimum electrolyser capacity target,0.10
Slovakia,Incremental electrolyser capacity target,0.30
Slovakia,Maximum electrolyser capacity target,0.40
Slovenia,Minimum electrolyser capacity target,0.10
Slovenia,Incremental electrolyser capacity target,0.00
Slovenia,Maximum electrolyser capacity target,0.10
Spain,Minimum electrolyser capacity target,12.00
Spain,Incremental electrolyser capacity target,0.00
Spain,Maximum electrolyser capacity target,12.00
Sweden,Minimum electrolyser capacity target,5.00
Sweden,Incremental electrolyser capacity target,0.00
Sweden,Maximum electrolyser capacity target,5.00
