Country,Category,Value [Mt/y]
Austria,Minimum hydrogen production target,105.00
Austria,Incremental hydrogen production target,0.00
Austria,Maximum hydrogen production target,105.00
Belgium,Minimum hydrogen production target,11.00
Belgium,Incremental hydrogen production target,5.00
Belgium,Maximum hydrogen production target,16.00
Bulgaria,Minimum hydrogen production target,7.80
Bulgaria,Incremental hydrogen production target,0.00
Bulgaria,Maximum hydrogen production target,7.80
Croatia,Minimum hydrogen production target,5.00
Croatia,Incremental hydrogen production target,134.00
Croatia,Maximum hydrogen production target,139.00
Czechia,Minimum hydrogen production target,20.00
Czechia,Incremental hydrogen production target,0.00
Czechia,Maximum hydrogen production target,20.00
Denmark,Minimum hydrogen production target,291.00
Denmark,Incremental hydrogen production target,364.00
Denmark,Maximum hydrogen production target,655.00
Estonia,Minimum hydrogen production target,2.00
Estonia,Incremental hydrogen production target,38.00
Estonia,Maximum hydrogen production target,40.00
Finland,Minimum hydrogen production target,100.00
Finland,Incremental hydrogen production target,50.00
Finland,Maximum hydrogen production target,150.00
France,Minimum hydrogen production target,0.00
France,Incremental hydrogen production target,0.00
France,Maximum hydrogen production target,0.00
Germany,Minimum hydrogen production target,1201.00
Germany,Incremental hydrogen production target,301.00
Germany,Maximum hydrogen production target,1502.00
Greece,Minimum hydrogen production target,30.00
Greece,Incremental hydrogen production target,0.00
Greece,Maximum hydrogen production target,30.00
Hungary,Minimum hydrogen production target,36.00
Hungary,Incremental hydrogen production target,0.00
Hungary,Maximum hydrogen production target,36.00
Ireland,Minimum hydrogen production target,145.00
Ireland,Incremental hydrogen production target,73.00
Ireland,Maximum hydrogen production target,218.00
Lithuania,Minimum hydrogen production target,129.00
Lithuania,Incremental hydrogen production target,0.00
Lithuania,Maximum hydrogen production target,129.00
Netherlands,Minimum hydrogen production target,109.00
Netherlands,Incremental hydrogen production target,327.00
Netherlands,Maximum hydrogen production target,436.00
Poland,Minimum hydrogen production target,194.00
Poland,Incremental hydrogen production target,0.00
Poland,Maximum hydrogen production target,194.00
Portugal,Minimum hydrogen production target,500.00
Portugal,Incremental hydrogen production target,0.00
Portugal,Maximum hydrogen production target,500.00
Romania,Minimum hydrogen production target,153.00
Romania,Incremental hydrogen production target,0.00
Romania,Maximum hydrogen production target,153.00
Slovakia,Minimum hydrogen production target,12.00
Slovakia,Incremental hydrogen production target,23.00
Slovakia,Maximum hydrogen production target,35.00
Slovenia,Minimum hydrogen production target,7.00
Slovenia,Incremental hydrogen production target,0.00
Slovenia,Maximum hydrogen production target,7.00
Spain,Minimum hydrogen production target,873.00
Spain,Incremental hydrogen production target,436.00
Spain,Maximum hydrogen production target,1309.00
Sweden,Minimum hydrogen production target,661.00
Sweden,Incremental hydrogen production target,600.00
Sweden,Maximum hydrogen production target,1261.00
