Country,Minimum renewable hydrogen production (kt),Incremental renewable hydrogen production (kt),Maximum renewable hydrogen production(kt)
Spain,800,400,1200
Germany,727,364,1091
Denmark,291,364,655
France,600,0,600
Portugal,400,200,600
Sweden,364,181,545
Netherlands,218,218,436
Romania,282,0,282
Poland,194,0,194
Italy,176,0,176
Estonia,2,38,40
Hungary,36,0,36
Slovakia,12,23,35
Greece,28,0,28
Croatia,26,0,26
Czechia,20,0,20
Belgium,11,5,16
Bulgaria,8,0,8
Total,4429,1793,6222
