Year,Category,Hydrogen consumption [Mt]
2020,Total hydrogen consumption,6.80
2021,Total hydrogen consumption,7.10
2022,Total hydrogen consumption,7.62
2022,Ammonia,1.89
2022,Blending in natural gas pipelines,0.00
2022,Methanol,0.24
2022,Novel hydrogen applications,0.27
2022,Other,0.30
2022,Other chemicals,0.69
2022,Refining,4.24
2023,Total hydrogen consumption,7.46
2023,Ammonia,1.97
2023,Blending in natural gas pipelines,0.00
2023,Methanol,0.16
2023,Novel hydrogen applications,0.25
2023,Other,0.23
2023,Other chemicals,0.66
2023,Refining,4.20
2024,Total hydrogen consumption,7.37
2024,Ammonia,1.94
2024,Blending in natural gas pipelines,0.00
2024,Methanol,0.16
2024,Novel hydrogen applications,0.27
2024,Other,0.16
2024,Other chemicals,0.60
2024,Refining,4.23
