Country,Year,Category,Hydrogen consumption [Mt]
Austria,2022,Total hydrogen consumption,0.12
Austria,2022,Ammonia,0.07
Austria,2022,Blending in natural gas pipelines,0.00
Austria,2022,Methanol,0.00
Austria,2022,Novel hydrogen applications,0.00
Austria,2022,Other,0.00
Austria,2022,Other chemicals,0.00
Austria,2022,Refining,0.04
Austria,2023,Total hydrogen consumption,0.13
Austria,2023,Ammonia,0.07
Austria,2023,Blending in natural gas pipelines,0.00
Austria,2023,Methanol,0.00
Austria,2023,Novel hydrogen applications,0.01
Austria,2023,Other,0.00
Austria,2023,Other chemicals,0.00
Austria,2023,Refining,0.05
Austria,2024,Total hydrogen consumption,0.13
Austria,2024,Ammonia,0.07
Austria,2024,Blending in natural gas pipelines,0.00
Austria,2024,Methanol,0.00
Austria,2024,Novel hydrogen applications,0.01
Austria,2024,Other,0.00
Austria,2024,Other chemicals,0.00
Austria,2024,Refining,0.06
Belgium,2022,Total hydrogen consumption,0.38
Belgium,2022,Ammonia,0.14
Belgium,2022,Blending in natural gas pipelines,0.00
Belgium,2022,Methanol,0.00
Belgium,2022,Novel hydrogen applications,0.03
Belgium,2022,Other,0.00
Belgium,2022,Other chemicals,0.04
Belgium,2022,Refining,0.17
Belgium,2023,Total hydrogen consumption,0.43
Belgium,2023,Ammonia,0.17
Belgium,2023,Blending in natural gas pipelines,0.00
Belgium,2023,Methanol,0.00
Belgium,2023,Novel hydrogen applications,0.03
Belgium,2023,Other,0.00
Belgium,2023,Other chemicals,0.04
Belgium,2023,Refining,0.18
Belgium,2024,Total hydrogen consumption,0.39
Belgium,2024,Ammonia,0.13
Belgium,2024,Blending in natural gas pipelines,0.00
Belgium,2024,Methanol,0.00
Belgium,2024,Novel hydrogen applications,0.04
Belgium,2024,Other,0.00
Belgium,2024,Other chemicals,0.04
Belgium,2024,Refining,0.19
Bulgaria,2022,Total hydrogen consumption,0.12
Bulgaria,2022,Ammonia,0.05
Bulgaria,2022,Blending in natural gas pipelines,0.00
Bulgaria,2022,Methanol,0.00
Bulgaria,2022,Novel hydrogen applications,0.00
Bulgaria,2022,Other,0.00
Bulgaria,2022,Other chemicals,0.00
Bulgaria,2022,Refining,0.07
Bulgaria,2023,Total hydrogen consumption,0.12
Bulgaria,2023,Ammonia,0.06
Bulgaria,2023,Blending in natural gas pipelines,0.00
Bulgaria,2023,Methanol,0.00
Bulgaria,2023,Novel hydrogen applications,0.00
Bulgaria,2023,Other,0.00
Bulgaria,2023,Other chemicals,0.00
Bulgaria,2023,Refining,0.06
Bulgaria,2024,Total hydrogen consumption,0.12
Bulgaria,2024,Ammonia,0.06
Bulgaria,2024,Blending in natural gas pipelines,0.00
Bulgaria,2024,Methanol,0.00
Bulgaria,2024,Novel hydrogen applications,0.00
Bulgaria,2024,Other,0.00
Bulgaria,2024,Other chemicals,0.00
Bulgaria,2024,Refining,0.07
Germany,2022,Total hydrogen consumption,1.74
Germany,2022,Ammonia,0.36
Germany,2022,Blending in natural gas pipelines,0.00
Germany,2022,Methanol,0.15
Germany,2022,Novel hydrogen applications,0.07
Germany,2022,Other,0.18
Germany,2022,Other chemicals,0.10
Germany,2022,Refining,0.87
Germany,2023,Total hydrogen consumption,1.39
Germany,2023,Ammonia,0.33
Germany,2023,Blending in natural gas pipelines,0.00
Germany,2023,Methanol,0.08
Germany,2023,Novel hydrogen applications,0.07
Germany,2023,Other,0.15
Germany,2023,Other chemicals,0.10
Germany,2023,Refining,0.66
Germany,2024,Total hydrogen consumption,1.49
Germany,2024,Ammonia,0.33
Germany,2024,Blending in natural gas pipelines,0.00
Germany,2024,Methanol,0.11
Germany,2024,Novel hydrogen applications,0.07
Germany,2024,Other,0.10
Germany,2024,Other chemicals,0.14
Germany,2024,Refining,0.73
Spain,2022,Total hydrogen consumption,0.61
Spain,2022,Ammonia,0.07
Spain,2022,Blending in natural gas pipelines,0.00
Spain,2022,Methanol,0.00
Spain,2022,Novel hydrogen applications,0.01
Spain,2022,Other,0.03
Spain,2022,Other chemicals,0.02
Spain,2022,Refining,0.48
Spain,2023,Total hydrogen consumption,0.57
Spain,2023,Ammonia,0.07
Spain,2023,Blending in natural gas pipelines,0.00
Spain,2023,Methanol,0.00
Spain,2023,Novel hydrogen applications,0.01
Spain,2023,Other,0.00
Spain,2023,Other chemicals,0.02
Spain,2023,Refining,0.47
Spain,2024,Total hydrogen consumption,0.62
Spain,2024,Ammonia,0.07
Spain,2024,Blending in natural gas pipelines,0.00
Spain,2024,Methanol,0.00
Spain,2024,Novel hydrogen applications,0.02
Spain,2024,Other,0.00
Spain,2024,Other chemicals,0.02
Spain,2024,Refining,0.51
Finland,2022,Total hydrogen consumption,0.18
Finland,2022,Ammonia,0.00
Finland,2022,Blending in natural gas pipelines,0.00
Finland,2022,Methanol,0.00
Finland,2022,Novel hydrogen applications,0.00
Finland,2022,Other,0.00
Finland,2022,Other chemicals,0.03
Finland,2022,Refining,0.14
Finland,2023,Total hydrogen consumption,0.18
Finland,2023,Ammonia,0.00
Finland,2023,Blending in natural gas pipelines,0.00
Finland,2023,Methanol,0.00
Finland,2023,Novel hydrogen applications,0.00
Finland,2023,Other,0.00
Finland,2023,Other chemicals,0.03
Finland,2023,Refining,0.15
Finland,2024,Total hydrogen consumption,0.16
Finland,2024,Ammonia,0.00
Finland,2024,Blending in natural gas pipelines,0.00
Finland,2024,Methanol,0.00
Finland,2024,Novel hydrogen applications,0.00
Finland,2024,Other,0.00
Finland,2024,Other chemicals,0.03
Finland,2024,Refining,0.12
France,2022,Total hydrogen consumption,0.55
France,2022,Ammonia,0.15
France,2022,Blending in natural gas pipelines,0.00
France,2022,Methanol,0.00
France,2022,Novel hydrogen applications,0.04
France,2022,Other,0.02
France,2022,Other chemicals,0.03
France,2022,Refining,0.31
France,2023,Total hydrogen consumption,0.54
France,2023,Ammonia,0.12
France,2023,Blending in natural gas pipelines,0.00
France,2023,Methanol,0.00
France,2023,Novel hydrogen applications,0.03
France,2023,Other,0.02
France,2023,Other chemicals,0.03
France,2023,Refining,0.34
France,2024,Total hydrogen consumption,0.56
France,2024,Ammonia,0.12
France,2024,Blending in natural gas pipelines,0.00
France,2024,Methanol,0.00
France,2024,Novel hydrogen applications,0.04
France,2024,Other,0.02
France,2024,Other chemicals,0.03
France,2024,Refining,0.34
Greece,2022,Total hydrogen consumption,0.33
Greece,2022,Ammonia,0.02
Greece,2022,Blending in natural gas pipelines,0.00
Greece,2022,Methanol,0.00
Greece,2022,Novel hydrogen applications,0.00
Greece,2022,Other,0.00
Greece,2022,Other chemicals,0.00
Greece,2022,Refining,0.30
Greece,2023,Total hydrogen consumption,0.34
Greece,2023,Ammonia,0.02
Greece,2023,Blending in natural gas pipelines,0.00
Greece,2023,Methanol,0.00
Greece,2023,Novel hydrogen applications,0.00
Greece,2023,Other,0.00
Greece,2023,Other chemicals,0.00
Greece,2023,Refining,0.32
Greece,2024,Total hydrogen consumption,0.35
Greece,2024,Ammonia,0.02
Greece,2024,Blending in natural gas pipelines,0.00
Greece,2024,Methanol,0.00
Greece,2024,Novel hydrogen applications,0.00
Greece,2024,Other,0.00
Greece,2024,Other chemicals,0.00
Greece,2024,Refining,0.33
Hungary,2022,Total hydrogen consumption,0.19
Hungary,2022,Ammonia,0.06
Hungary,2022,Blending in natural gas pipelines,0.00
Hungary,2022,Methanol,0.00
Hungary,2022,Novel hydrogen applications,0.01
Hungary,2022,Other,0.00
Hungary,2022,Other chemicals,0.07
Hungary,2022,Refining,0.06
