Year,Household price,Non-household price,Household index,Non-household index
2008,16.40,9.96,100%,100%
2009,16.73,10.22,102%,103%
2010,17.51,10.12,107%,102%
2011,18.72,10.96,114%,110%
2012,19.56,11.29,119%,113%
2013,20.52,11.50,125%,115%
2014,20.71,11.30,126%,114%
2015,20.86,10.98,127%,110%
2016,20.60,10.20,126%,102%
2017,20.86,10.01,127%,101%
2018,21.25,9.79,130%,98%
2019,21.68,10.68,132%,107%
2020,21.32,11.03,130%,111%
2021,22.86,12.89,139%,129%
2022,26.82,21.27,164%,214%
2023,28.84,20.50,176%,206%
2024,28.80,17.00,176%,171%
