Year,Household index,Household prices (cents/kWh),Industrial prices (cents/kWh),Industrial index
2008,100%,16.40,9.96,100%
2009,102%,16.74,10.22,103%
2010,107%,17.51,10.12,102%
2011,114%,18.72,10.96,110%
2012,119%,19.56,11.29,113%
2013,125%,20.52,11.50,115%
2014,126%,20.71,11.30,114%
2015,127%,20.86,10.98,110%
2016,126%,20.60,10.20,102%
2017,127%,20.87,10.01,101%
2018,130%,21.25,9.79,98%
2019,132%,21.68,10.68,107%
2020,130%,21.32,11.03,111%
2021,139%,22.86,12.89,129%
2022,164%,26.83,21.27,214%
2023,176%,28.85,20.50,206%
