Member State,Year,Total demand (GWh),Activated remedial actions (GWh),Ratio,Interval
AT,2023,58215.61,413.84,0.71,0.1 - 1 %
BE,2023,78902.40,18.38,0.02,0 - 0.1 %
BG,2023,36008.85,0.00,0.00,0 - 0.1 %
CH,2023,61070.68,244.31,0.40,0.1 - 1 %
CZ,2023,60908.01,4.48,0.01,0 - 0.1 %
DE,2023,457674.60,30520.56,6.67,> 5 %
DK,2023,34477.50,0.00,0.00,0 - 0.1 %
ES,2023,229319.69,12394.60,5.40,> 5 %
FI,2023,78946.39,11.60,0.01,0 - 0.1 %
FR,2023,425437.50,1500.00,0.35,0.1 - 1 %
GR,2023,47877.27,1.70,0.00,0 - 0.1 %
HR,2023,17839.49,51.13,0.29,0.1 - 1 %
HU,2023,42088.61,0.00,0.00,0 - 0.1 %
IT,2023,276177.61,451.00,0.16,0.1 - 1 %
LT,2023,11717.32,4.45,0.04,0 - 0.1 %
LU,2023,4696.91,0.00,0.00,0 - 0.1 %
LV,2023,6468.46,1.26,0.02,0 - 0.1 %
NL,2023,109241.70,574.00,0.53,0.1 - 1 %
NO,2023,134492.49,894.00,0.66,0.1 - 1 %
PL,2023,166101.75,9812.62,5.91,> 5 %
PT,2023,50720.75,78.69,0.16,0.1 - 1 %
RO,2023,53366.19,0.42,0.00,0 - 0.1 %
SE,2023,130619.36,263.21,0.20,0.1 - 1 %
SI,2023,12244.51,40.06,0.33,0.1 - 1 %
SK,2023,25423.59,0.00,0.00,0 - 0.1 %
