Area,Year,Trading type,Churn factor
DE,2018,Auction,0.01
DE,2018,Continuous,0.09
DE,2019,Auction,0.01
DE,2019,Continuous,0.10
DE,2020,Auction,0.02
DE,2020,Continuous,0.12
Iberia,2018,Auction,0.13
Iberia,2018,Continuous,0.00
Iberia,2019,Auction,0.12
Iberia,2019,Continuous,0.01
Iberia,2020,Auction,0.11
Iberia,2020,Continuous,0.01
IT,2018,Auction,0.07
IT,2019,Auction,0.08
IT,2020,Auction,0.08
GB,2018,Continuous,0.06
GB,2019,Auction,0.00
GB,2019,Continuous,0.06
GB,2020,Continuous,0.08
AT,2018,Continuous,0.04
AT,2019,Continuous,0.04
AT,2020,Auction,0.00
AT,2020,Continuous,0.06
SI,2018,Auction,0.01
SI,2018,Continuous,0.00
SI,2019,Auction,0.02
SI,2019,Continuous,0.01
SI,2020,Auction,0.02
SI,2020,Continuous,0.04
NL,2018,Continuous,0.02
NL,2019,Continuous,0.03
NL,2020,Auction,0.00
NL,2020,Continuous,0.04
BE,2018,Continuous,0.01
BE,2019,Continuous,0.02
BE,2020,Auction,0.00
BE,2020,Continuous,0.04
FR,2018,Auction,0.00
FR,2018,Continuous,0.01
FR,2019,Continuous,0.02
FR,2020,Auction,0.00
FR,2020,Continuous,0.03
BG,2018,Continuous,0.00
BG,2019,Continuous,0.01
BG,2020,Continuous,0.02
Baltic,2018,Continuous,0.01
Baltic,2019,Continuous,0.01
Baltic,2020,Continuous,0.01
CH,2018,Continuous,0.02
CH,2019,Auction,0.00
CH,2019,Continuous,0.00
CH,2020,Auction,0.01
CH,2020,Continuous,0.01
Nordic,2018,Continuous,0.01
Nordic,2019,Continuous,0.02
Nordic,2020,Continuous,0.02
4MMC,2018,Continuous,0.01
4MMC,2019,Continuous,0.01
4MMC,2020,Continuous,0.02
HR,2018,Continuous,0.00
HR,2019,Continuous,0.00
HR,2020,Continuous,0.01
PL,2019,Continuous,0.00
PL,2020,Continuous,0.01
