vehicle_weight_category,fuel_category,fuel_subcategory,lcod_case,fuel_pathway,fuel_scenario,fuel_pathway_2,fuel_scenario_2,energy_source,grid_scenario,metric_type,metric,units,dollar_year,value,notes_display,reference,reference_url,notes_display_2,reference_2,reference_url_2,pathway,vehicle_class,greet_class,greet_pathway,simulation_year,greet_notes,notes,greet_pathway_2,greet_notes_2,notes_2
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,15825.83775,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,-782.2059758,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FP from Forest Residue,,,,,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,-41051.05648,,Dutta et al. 2023,https://doi.org/10.1016/j.cej.2022.138485,,,,,,,Biofuel Blendstock Ex situ Fast Pyrolysis (Diesel) from Forest Residue and Clean Pine with Chemical Coproducts and Refinery Co-hydroprocessing ,2022.0,GREET: Ex Situ Catalytic Fast Pyrolysis [Pyrolysis_IDL],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,-70252.25429,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,-56991.29192,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,CO2e Emissions WTWake,g/mmBtu,,93899.97065,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,CO2e Emissions WTWake,g/mmBtu,,74113.09633,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,CO2e Emissions WTWake,g/mmBtu,,4643.048024,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,CO2e Emissions WTWake,g/mmBtu,,17904.01039,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,Current Market,,,,Default,Price,Fuel Price,$/gge,2022.0,3.258225430335301,"AEO 2023, 2023 Reference case ","EIA, 2023",https://www.eia.gov/outlooks/aeo/data/browser/#/?id=12-AEO2023&sourcekey=0,,,,,,,,,,,,,
